year,quintil_oecd,regtyp,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
2017,5th Quintile,Rural regions,,,,,,,,,,,,
2018,1st Quintile,Urban regions,,,,,,,,,,,,
2018,1st Quintile,Rural regions,,,,,,,,,,,,
2018,2nd Quintile,Urban regions,,,,,,,,,,,,
2018,2nd Quintile,Rural regions,,,,,,,,,,,,
2018,3rd Quintile,Urban regions,,,,,,,,,,,,
2018,3rd Quintile,Rural regions,,,,,,,,,,,,
2018,4th Quintile,Urban regions,,,,,,,,,,,,
2018,4th Quintile,Rural regions,,,,,,,,,,,,
2018,5th Quintile,Urban regions,,,,,,,,,,,,
2018,5th Quintile,Rural regions,,,,,,,,,,,,
2019,1st Quintile,Urban regions,2568,6.80215,6.65726,6.95124,5.00000,7.00000,9.00000,0.00000,10.00000,7.00000,6.00000,7.00000
2019,1st Quintile,Rural regions,1464,7.08847,6.91274,7.23247,6.00000,8.00000,9.00000,1.50000,10.00000,8.00000,8.00000,9.00000
2019,2nd Quintile,Urban regions,2616,7.27228,7.14508,7.37972,6.00000,8.00000,9.00000,1.50000,10.00000,8.00000,8.00000,8.00000
2019,2nd Quintile,Rural regions,1748,7.56550,7.41516,7.69699,7.00000,8.00000,9.00000,4.00000,10.00000,8.00000,8.00000,8.00000
2019,3rd Quintile,Urban regions,2634,7.55719,7.44990,7.68748,7.00000,8.00000,9.00000,4.00000,10.00000,8.00000,8.00000,8.00000
2019,3rd Quintile,Rural regions,1590,7.61104,7.46718,7.74229,7.00000,8.00000,9.00000,4.00000,10.00000,8.00000,8.00000,8.00000
2019,4th Quintile,Urban regions,2611,7.91315,7.82438,8.02572,7.00000,8.00000,9.00000,4.00000,10.00000,8.00000,8.00000,8.00000
2019,4th Quintile,Rural regions,1403,7.93098,7.77783,8.06118,7.00000,8.00000,9.00000,4.00000,10.00000,8.00000,8.00000,8.00000
2019,5th Quintile,Urban regions,3297,8.23539,8.16666,8.31507,7.29720,8.00000,9.00000,4.74300,10.00000,8.00000,8.00000,8.00000
2019,5th Quintile,Rural regions,1207,8.16568,8.05407,8.28347,8.00000,8.00000,9.00000,6.50000,10.00000,8.00000,8.00000,8.00000
2020,1st Quintile,Urban regions,,,,,,,,,,,,
2020,1st Quintile,Rural regions,,,,,,,,,,,,
2020,2nd Quintile,Urban regions,,,,,,,,,,,,
2020,2nd Quintile,Rural regions,,,,,,,,,,,,
2020,3rd Quintile,Urban regions,,,,,,,,,,,,
2020,3rd Quintile,Rural regions,,,,,,,,,,,,
2020,4th Quintile,Urban regions,,,,,,,,,,,,
2020,4th Quintile,Rural regions,,,,,,,,,,,,
2020,5th Quintile,Urban regions,,,,,,,,,,,,
2020,5th Quintile,Rural regions,,,,,,,,,,,,
