year,bula_h,sex,plb0418,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1999,North Rhine-Westphalia,male,Next year,0.01761,31,97,-0.00870,0.04392
1999,North Rhine-Westphalia,female,As soon as possible,0.02619,52,229,0.00546,0.04692
1999,North Rhine-Westphalia,female,Next year,0.02380,53,229,0.00402,0.04359
1999,North Rhine-Westphalia,female,In the next 2 to 5 years,0.04157,88,229,0.01566,0.06748
1999,North Rhine-Westphalia,female,"In the distant future, in more than five years",0.01396,36,229,-0.00127,0.02918
1999,Hesse,female,In the next 2 to 5 years,0.05586,37,37,-0.01916,0.13088
1999,Baden-Wuerttemberg,male,As soon as possible,0.03061,35,35,-0.02729,0.08851
1999,Baden-Wuerttemberg,female,As soon as possible,0.02494,34,144,-0.00062,0.05050
1999,Baden-Wuerttemberg,female,Next year,0.03169,35,144,0.00298,0.06040
1999,Baden-Wuerttemberg,female,In the next 2 to 5 years,0.05865,75,144,0.02014,0.09716
1999,Bavaria,female,In the next 2 to 5 years,0.05375,67,67,-0.00066,0.10816
1999,Saxony,male,As soon as possible,0.07548,55,55,0.00502,0.14593
1999,Saxony,female,As soon as possible,0.06967,57,128,0.02539,0.11395
1999,Saxony,female,Next year,0.04988,34,128,0.01202,0.08774
1999,Saxony,female,In the next 2 to 5 years,0.04096,37,128,0.00649,0.07543
1999,Saxony-Anhalt,female,As soon as possible,0.08148,35,35,-0.01048,0.17344
1999,Thuringa,male,As soon as possible,0.08921,37,37,-0.00391,0.18232
2000,Lower Saxony,male,Next year,0.02272,35,35,-0.02737,0.07280
2000,Lower Saxony,female,Next year,0.02207,35,107,-0.00590,0.05003
2000,Lower Saxony,female,In the next 2 to 5 years,0.04647,72,107,0.00639,0.08654
2000,North Rhine-Westphalia,male,As soon as possible,0.03322,116,208,0.00881,0.05764
2000,North Rhine-Westphalia,male,Next year,0.01294,44,208,-0.00246,0.02833
2000,North Rhine-Westphalia,male,In the next 2 to 5 years,0.01516,48,208,-0.00149,0.03180
2000,North Rhine-Westphalia,female,As soon as possible,0.01882,68,418,0.00577,0.03186
2000,North Rhine-Westphalia,female,Next year,0.02491,96,418,0.00995,0.03986
2000,North Rhine-Westphalia,female,In the next 2 to 5 years,0.04715,183,418,0.02681,0.06750
2000,North Rhine-Westphalia,female,"In the distant future, in more than five years",0.01774,71,418,0.00507,0.03041
2000,Hesse,male,As soon as possible,0.02995,31,31,-0.03104,0.09094
