year,quintil_oecd,pgpsbil,proportion,n,proportion_lower_confidence,proportion_upper_confidence
2000,4th Quintile,Other Degree,0.04044526901669759,30607,0.038238207545566665,0.04265233048782851
2000,4th Quintile,No School Degree Yet,0.018923933209647494,30607,0.017397412384134548,0.02045045403516044
2000,4th Quintile,"Dropout, No School Degree",0.006307977736549165,30607,0.005420991936655267,0.007194963536443062
2000,4th Quintile,No School Attended,0.00037105751391465676,30607,0.0001552901698494663,0.0005868248579798472
2000,5th Quintile,Upper Secondary Degree,0.3183076314748913,30607,0.3130889182654667,0.32352634468431585
2000,5th Quintile,Intermediate School Degree,0.3143534994068802,30607,0.3091522824333482,0.31955471638041216
2000,5th Quintile,Secondary School Degree,0.23606168446026096,30607,0.23130408816998735,0.24081928075053458
2000,5th Quintile,Technical School Degree,0.08145512060102808,30607,0.07839065270941506,0.0845195884926411
2000,5th Quintile,Other Degree,0.02965599051008304,30607,0.02775550408808762,0.031556476932078456
2000,5th Quintile,No School Degree Yet,0.01818900751285093,30607,0.016691861576469774,0.019686153449232083
2000,5th Quintile,"Dropout, No School Degree",0.0019770660340055358,30607,0.001479413135724482,0.00247471893228659
