"ple0081_h","year","bildungsniveau","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Nein","2018","AkademikerIn","weiblich","2766","0.860858601743041","0.848848495677671","0.872868707808411"
"Ja","2019","(noch) kein Abschluss","maennlich","","","",""
"Ja","2019","(noch) kein Abschluss","weiblich","","","",""
"Ja","2019","Hauptschule","maennlich","","","",""
"Ja","2019","Hauptschule","weiblich","","","",""
"Ja","2019","Realschule","maennlich","","","",""
"Ja","2019","Realschule","weiblich","","","",""
"Ja","2019","(Fach-)Abitur","maennlich","","","",""
"Ja","2019","(Fach-)Abitur","weiblich","","","",""
"Ja","2019","AkademikerIn","maennlich","","","",""
"Ja","2019","AkademikerIn","weiblich","","","",""
"Nein","2019","(noch) kein Abschluss","maennlich","","","",""
"Nein","2019","(noch) kein Abschluss","weiblich","","","",""
"Nein","2019","Hauptschule","maennlich","","","",""
"Nein","2019","Hauptschule","weiblich","","","",""
"Nein","2019","Realschule","maennlich","","","",""
"Nein","2019","Realschule","weiblich","","","",""
"Nein","2019","(Fach-)Abitur","maennlich","","","",""
"Nein","2019","(Fach-)Abitur","weiblich","","","",""
"Nein","2019","AkademikerIn","maennlich","","","",""
"Nein","2019","AkademikerIn","weiblich","","","",""
"Ja","2020","(noch) kein Abschluss","maennlich","426","0.356418030462952","0.327337923556136","0.385498137369769"
