year,regtyp,rentown,hgroom,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1992,Urban regions,Owner,5 rooms,0.19067,282,1343,0.16965,0.21168
1992,Urban regions,Owner,6 rooms,0.13916,194,1343,0.12064,0.15768
1992,Urban regions,Owner,7 rooms,0.05309,72,1343,0.04109,0.06508
1992,Urban regions,Owner,8 rooms,0.02481,39,1343,0.01649,0.03313
1992,Urban regions,Tenant,1 room,0.09218,216,2981,0.08180,0.10257
1992,Urban regions,Tenant,2 rooms,0.33372,835,2981,0.31679,0.35065
1992,Urban regions,Tenant,3 rooms,0.38989,1281,2981,0.37238,0.40740
1992,Urban regions,Tenant,4 rooms,0.12658,486,2981,0.11464,0.13852
1992,Urban regions,Tenant,5 rooms,0.03550,123,2981,0.02885,0.04214
1992,Urban regions,Tenant,6 rooms,0.01287,40,2981,0.00882,0.01691
1992,Rural regions,Owner,2 rooms,0.05495,49,916,0.04018,0.06971
1992,Rural regions,Owner,3 rooms,0.22454,204,916,0.19750,0.25158
1992,Rural regions,Owner,4 rooms,0.25462,245,916,0.22639,0.28284
1992,Rural regions,Owner,5 rooms,0.22598,227,916,0.19888,0.25307
1992,Rural regions,Owner,6 rooms,0.13561,134,916,0.11343,0.15780
1992,Rural regions,Owner,7 rooms,0.05425,57,916,0.03958,0.06893
1992,Rural regions,Tenant,1 room,0.05709,43,1170,0.04379,0.07039
1992,Rural regions,Tenant,2 rooms,0.30511,286,1170,0.27871,0.33150
1992,Rural regions,Tenant,3 rooms,0.41364,560,1170,0.38541,0.44187
1992,Rural regions,Tenant,4 rooms,0.14878,222,1170,0.12838,0.16918
1992,Rural regions,Tenant,5 rooms,0.04370,59,1170,0.03198,0.05542
1993,Urban regions,Owner,2 rooms,0.07855,93,1334,0.06411,0.09299
1993,Urban regions,Owner,3 rooms,0.21812,280,1334,0.19595,0.24029
1993,Urban regions,Owner,4 rooms,0.26780,367,1334,0.24403,0.29158
1993,Urban regions,Owner,5 rooms,0.20020,293,1334,0.17872,0.22169
1993,Urban regions,Owner,6 rooms,0.13011,184,1334,0.11205,0.14817
1993,Urban regions,Owner,7 rooms,0.05954,78,1334,0.04684,0.07225
1993,Urban regions,Owner,8 rooms,0.02309,39,1334,0.01503,0.03115
1993,Urban regions,Tenant,1 room,0.09347,210,2988,0.08303,0.10390
1993,Urban regions,Tenant,2 rooms,0.31549,816,2988,0.29883,0.33216
1993,Urban regions,Tenant,3 rooms,0.40783,1312,2988,0.39021,0.42546
1993,Urban regions,Tenant,4 rooms,0.13179,494,2988,0.11966,0.14392
1993,Urban regions,Tenant,5 rooms,0.03148,119,2988,0.02522,0.03775
1993,Urban regions,Tenant,6 rooms,0.01244,37,2988,0.00847,0.01642
1993,Rural regions,Owner,2 rooms,0.05149,47,948,0.03741,0.06556
1993,Rural regions,Owner,3 rooms,0.21540,202,948,0.18922,0.24159
1993,Rural regions,Owner,4 rooms,0.25412,241,948,0.22639,0.28185
1993,Rural regions,Owner,5 rooms,0.23818,237,948,0.21105,0.26531
1993,Rural regions,Owner,6 rooms,0.12944,124,948,0.10806,0.15082
