year,bula_h,rentown,hlf0261,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2005,Saxony-Anhalt,Tenant,No,0.95740,242,242,0.93190,0.98290
2005,Thuringa,Owner,No,0.98728,224,224,0.97258,1.00199
2005,Thuringa,Tenant,No,0.93929,224,224,0.90795,0.97063
2006,Schleswig-Holstein,Owner,No,0.87404,177,177,0.82502,0.92306
2006,Schleswig-Holstein,Tenant,No,0.92450,162,162,0.88369,0.96531
2006,Hamburg,Owner,No,0.88858,39,39,0.78854,0.98863
2006,Hamburg,Tenant,No,0.91001,137,137,0.86191,0.95810
2006,Lower Saxony,Owner,"Yes, Regularly",0.06761,54,636,0.04808,0.08714
2006,Lower Saxony,Owner,"Yes, Occasionally",0.05208,33,636,0.03480,0.06936
2006,Lower Saxony,Owner,No,0.86470,549,636,0.83809,0.89130
2006,Lower Saxony,Tenant,No,0.92732,408,408,0.90210,0.95254
2006,Bremen,Owner,No,0.91621,32,32,0.81868,1.01375
2006,Bremen,Tenant,No,0.85947,49,49,0.76116,0.95779
2006,North Rhine-Westphalia,Owner,"Yes, Regularly",0.11529,162,1197,0.09719,0.13339
2006,North Rhine-Westphalia,Owner,"Yes, Occasionally",0.08484,86,1197,0.06904,0.10063
2006,North Rhine-Westphalia,Owner,No,0.79392,949,1197,0.77100,0.81685
2006,North Rhine-Westphalia,Tenant,"Yes, Regularly",0.07092,80,1332,0.05713,0.08471
2006,North Rhine-Westphalia,Tenant,"Yes, Occasionally",0.04246,44,1332,0.03163,0.05329
