year,plb0419_h,quintil_oecd,sex,proportion,n,lower_confidence,upper_confidence
2009,Almost impossible,3rd Quintile,male,0.07926829268292683,21983,0.07569697163650228,0.08283961372935138
2009,Almost impossible,5th Quintile,female,0.06300813008130081,21983,0.05979610595842027,0.06622015420418134
2009,Almost impossible,2nd Quintile,male,0.06097560975609756,21983,0.05781239189823341,0.06413882761396171
2009,Almost impossible,5th Quintile,male,0.06097560975609756,21983,0.05781239189823341,0.06413882761396171
2009,Almost impossible,4th Quintile,male,0.054878048780487805,21983,0.05186742944062099,0.05788866812035462
2010,Easy,5th Quintile,female,0.1437125748502994,35837,0.14008056166517635,0.14734458803542244
2010,Easy,4th Quintile,female,0.1437125748502994,35837,0.14008056166517635,0.14734458803542244
2010,Easy,4th Quintile,male,0.12574850299401197,35837,0.12231561327415916,0.12918139271386478
2010,Easy,3rd Quintile,female,0.12275449101796407,35837,0.11935691236169664,0.12615206967423148
2010,Easy,5th Quintile,male,0.11077844311377245,35837,0.10752889577632035,0.11402799045122455
2010,Easy,1st Quintile,female,0.09580838323353294,35837,0.09276103390476713,0.09885573256229875
2010,Easy,2nd Quintile,female,0.09580838323353294,35837,0.09276103390476713,0.09885573256229875
2010,Easy,3rd Quintile,male,0.0718562874251497,35837,0.06918247923667699,0.07453009561362241
2010,Easy,1st Quintile,male,0.05389221556886228,35837,0.05155432825114097,0.05623010288658358
2010,Easy,2nd Quintile,male,0.03592814371257485,35837,0.034001229677272725,0.03785505774787697
2010,Difficult,1st Quintile,female,0.1482456140350877,35837,0.14456654138439778,0.15192468668577763
2010,Difficult,4th Quintile,female,0.12192982456140351,35837,0.11854208640589124,0.1253175627169158
2010,Difficult,5th Quintile,female,0.11842105263157894,35837,0.11507575077316251,0.12176635448999537
2010,Difficult,3rd Quintile,female,0.10526315789473684,35837,0.1020857270612619,0.10844058872821177
2010,Difficult,1st Quintile,male,0.10438596491228071,35837,0.101220250390606,0.10755167943395541
2010,Difficult,2nd Quintile,female,0.09736842105263158,35837,0.09429901338668427,0.10043782871857888
2010,Difficult,4th Quintile,male,0.08947368421052632,35837,0.08651850271071748,0.09242886571033515
2010,Difficult,3rd Quintile,male,0.08333333333333333,35837,0.08047175693926413,0.08619490972740253
2010,Difficult,2nd Quintile,male,0.06754385964912281,35837,0.0649455111986991,0.07014220809954652
2010,Difficult,5th Quintile,male,0.06403508771929825,35837,0.061500373294020444,0.06656980214457606
2010,Almost impossible,1st Quintile,female,0.22330097087378642,35837,0.21898913784595941,0.22761280390161343
2010,Almost impossible,1st Quintile,male,0.1262135922330097,35837,0.1227752749191036,0.1296519095469158
2010,Almost impossible,2nd Quintile,female,0.11893203883495146,35837,0.1155804990083953,0.12228357866150762
2010,Almost impossible,3rd Quintile,female,0.0970873786407767,35837,0.09402192680021927,0.10015283048133412
2010,Almost impossible,2nd Quintile,male,0.08737864077669903,35837,0.08445490444295387,0.0903023771104442
2010,Almost impossible,4th Quintile,male,0.07766990291262135,35837,0.07489875428427663,0.08044105154096608
2010,Almost impossible,5th Quintile,female,0.07766990291262135,35837,0.07489875428427663,0.08044105154096608
2010,Almost impossible,4th Quintile,female,0.0703883495145631,35837,0.06773990171242934,0.07303679731669686
2010,Almost impossible,3rd Quintile,male,0.06553398058252427,35837,0.06297182629313074,0.0680961348719178
2010,Almost impossible,5th Quintile,male,0.055825242718446605,35837,0.05344822865807764,0.05820225677881557
2011,Easy,4th Quintile,female,0.16158536585365854,41903,0.15806113823051463,0.16510959347680246
2011,Easy,2nd Quintile,female,0.15701219512195122,41903,0.1535287349330004,0.16049565531090204
