year,pgisced97,quintil_oecd,pli0097_h,proportion,n,lower_confidence,upper_confidence
2017,middle vocational,4. Quintil,Seltener,0.007396793431957246,45410,0.006608677870944988,0.008184908992969503
2017,higher education,1. Quintil,Nie,0.006893346758577956,45410,0.006132331562577358,0.007654361954578554
2017,inadequately,1. Quintil,Nie,0.005847726744636356,45410,0.005146432442091026,0.006549021047181686
2017,vocational + Abi,1. Quintil,Nie,0.00503446673379289,45410,0.004383496581045846,0.005685436886539934
2017,higher education,5. Quintil,Min 1x pro Monat,0.004763380063511734,45410,0.004130092278230965,0.005396667848792503
2017,in school,5. Quintil,Nie,0.004647200061962667,45410,0.004021646464109506,0.0052727536598158285
2017,middle vocational,3. Quintil,Seltener,0.0044148400588645345,45410,0.003805054668695802,0.005024625449033268
2017,inadequately,2. Quintil,Nie,0.004337386724498489,45410,0.0037329504873324995,0.004941822961664479
2017,inadequately,3. Quintil,Nie,0.00398884671985129,45410,0.003409102943388539,0.00456859049631404
2017,higher education,4. Quintil,Seltener,0.00398884671985129,45410,0.003409102943388539,0.00456859049631404
2017,higher education,5. Quintil,Min 1x pro Woche,0.0037952133839361784,45410,0.0032296611373344997,0.004360765630537857
2017,in school,4. Quintil,Nie,0.003562853380838045,45410,0.0030148234851756495,0.004110883276500441
2017,higher vocational,2. Quintil,Nie,0.0032917667105568896,45410,0.002764926556898245,0.003818606864215534
2017,higher vocational,5. Quintil,Seltener,0.0027883200371776004,45410,0.002303316050440591,0.0032733240239146096
2017,in school,3. Quintil,Nie,0.0026334133684455118,45410,0.0021620376084222704,0.003104789128468753
2017,middle vocational,5. Quintil,Min 1x pro Monat,0.0023236000309813337,45410,0.0018807508388454966,0.002766449223117171
2017,middle vocational,2. Quintil,Seltener,0.0022848733637983116,45410,0.0018457215647955144,0.0027240251628011087
2017,in school,2. Quintil,Nie,0.0022848733637983116,45410,0.0018457215647955144,0.0027240251628011087
2017,inadequately,4. Quintil,Nie,0.0019750600263341335,45410,0.00156670193323202,0.002383418119436247
2017,in school,1. Quintil,Nie,0.001703973356052978,45410,0.0013246222177799398,0.0020833244943260164
2017,middle vocational,4. Quintil,Min 1x pro Monat,0.0016265200216869337,45410,0.001255876387652917,0.0019971636557209503
2017,vocational + Abi,5. Quintil,Seltener,0.0015490666873208892,45410,0.0011873415074127973,0.0019107918672289811
2017,higher education,3. Quintil,Seltener,0.0014716133529548447,45410,0.0011190335845366215,0.0018241931213730678
2017,middle vocational,5. Quintil,Min 1x pro Woche,0.0014328866857718225,45410,0.0010849703077040948,0.0017808030638395503
2017,vocational + Abi,4. Quintil,Seltener,0.0013941600185888002,45410,0.0010509707626310107,0.0017373492745465897
2017,middle vocational,1. Quintil,Seltener,0.001355433351405778,45410,0.0010170376201544323,0.0016938290826571238
2017,higher education,4. Quintil,Min 1x pro Monat,0.0013167066842227559,45410,0.0009831737432700195,0.0016502396251754923
2017,higher vocational,4. Quintil,Seltener,0.001200526682673689,45410,0.0008820296567880652,0.0015190237085593128
2017,higher vocational,1. Quintil,Nie,0.0010843466811246223,45410,0.0007816352599327805,0.0013870581023164642
2017,middle vocational,3. Quintil,Min 1x pro Monat,0.0010843466811246223,45410,0.0007816352599327805,0.0013870581023164642
2017,higher education,2. Quintil,Seltener,0.0010456200139416002,45410,0.0007483575372956729,0.0013428824905875275
2017,higher education,4. Quintil,Min 1x pro Woche,0.0009681666795755558,45410,0.0006821146392637055,0.001254218719887406
2017,middle vocational,4. Quintil,Min 1x pro Woche,0.0009294400123925335,45410,0.000649161964715252,0.001209718060069815
2017,higher vocational,5. Quintil,Min 1x pro Woche,0.0009294400123925335,45410,0.000649161964715252,0.001209718060069815
2017,higher vocational,3. Quintil,Seltener,0.0008907133452095113,45410,0.0006163312311784008,0.0011650954592406218
2017,general elemantary,4. Quintil,Seltener,0.0008907133452095113,45410,0.0006163312311784008,0.0011650954592406218
2017,inadequately,5. Quintil,Nie,0.0008907133452095113,45410,0.0006163312311784008,0.0011650954592406218
2017,general elemantary,3. Quintil,Seltener,0.000851986678026489,45410,0.0005836304758664664,0.0011203428801865116
2017,vocational + Abi,3. Quintil,Seltener,0.0006970800092944001,45410,0.0004543238751601691,0.000939836143428631
2017,general elemantary,5. Quintil,Seltener,0.0006583533421113779,45410,0.0004224322141188853,0.0008942744701038706
2017,general elemantary,2. Quintil,Seltener,0.0006196266749283557,45410,0.0003907451272800575,0.0008485082225766539
2017,vocational + Abi,5. Quintil,Min 1x pro Monat,0.0006196266749283557,45410,0.0003907451272800575,0.0008485082225766539
