year,age_gr,bula_h,pli0095_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1988,46-65 y.,Bavaria,Never,0.23805,112,9041,0.23755,0.23855
1988,46-65 y.,Berlin,Seldom,0.59528,58,9041,0.59386,0.59670
1988,46-65 y.,Berlin,Never,0.40472,31,9041,0.40330,0.40614
1988,66 and older,Lower Saxony,Seldom,0.41462,47,9041,0.41363,0.41562
1988,66 and older,Lower Saxony,Never,0.58538,60,9041,0.58438,0.58637
1988,66 and older,North Rhine-Westphalia,Seldom,0.30745,59,9041,0.30677,0.30813
1988,66 and older,North Rhine-Westphalia,Never,0.69255,136,9041,0.69187,0.69323
1988,66 and older,Hesse,Seldom,0.45495,36,9041,0.45379,0.45611
1988,66 and older,Hesse,Never,0.54505,41,9041,0.54389,0.54621
1988,66 and older,"Rhineland-Palatinate, Saarland",Never,1.00000,48,9041,1.00000,1.00000
1988,66 and older,Baden-Wuerttemberg,Seldom,0.27324,35,9041,0.27238,0.27410
1988,66 and older,Baden-Wuerttemberg,Never,0.72676,92,9041,0.72590,0.72762
1988,66 and older,Bavaria,Seldom,0.37881,59,9041,0.37802,0.37961
1988,66 and older,Bavaria,Never,0.62119,93,9041,0.62039,0.62198
1990,17-29 y.,Berlin,Seldom,1.00000,35,3764,1.00000,1.00000
1990,17-29 y.,Brandenburg,At least once per week,0.19386,32,3764,0.19275,0.19498
1990,17-29 y.,Brandenburg,At least once per month,0.32704,53,3764,0.32572,0.32837
1990,17-29 y.,Brandenburg,Seldom,0.47909,81,3764,0.47768,0.48050
1990,17-29 y.,Mecklenburg-Western Pomerania,At least once per month,0.43211,51,3764,0.43042,0.43381
1990,17-29 y.,Mecklenburg-Western Pomerania,Seldom,0.56789,63,3764,0.56619,0.56958
1990,17-29 y.,Saxony,At least once per week,0.18618,53,3764,0.18534,0.18703
1990,17-29 y.,Saxony,At least once per month,0.39289,117,3764,0.39183,0.39395
1990,17-29 y.,Saxony,Seldom,0.42092,133,3764,0.41985,0.42199
1990,17-29 y.,Saxony-Anhalt,At least once per week,0.22114,43,3764,0.22005,0.22223
1990,17-29 y.,Saxony-Anhalt,At least once per month,0.32708,66,3764,0.32585,0.32832
1990,17-29 y.,Saxony-Anhalt,Seldom,0.45178,96,3764,0.45047,0.45309
1990,17-29 y.,Thuringa,At least once per week,0.18417,38,3764,0.18313,0.18520
1990,17-29 y.,Thuringa,At least once per month,0.40911,76,3764,0.40780,0.41042
1990,17-29 y.,Thuringa,Seldom,0.40672,76,3764,0.40541,0.40803
1990,30-45 y.,Berlin,At least once per month,0.47130,40,3764,0.46925,0.47335
1990,30-45 y.,Berlin,Seldom,0.52870,49,3764,0.52665,0.53075
1990,30-45 y.,Brandenburg,At least once per week,0.21907,56,3764,0.21803,0.22012
1990,30-45 y.,Brandenburg,At least once per month,0.25373,66,3764,0.25263,0.25482
1990,30-45 y.,Brandenburg,Seldom,0.52720,134,3764,0.52594,0.52846
1990,30-45 y.,Mecklenburg-Western Pomerania,At least once per month,0.46512,63,3764,0.46337,0.46686
1990,30-45 y.,Mecklenburg-Western Pomerania,Seldom,0.53488,74,3764,0.53314,0.53663
