year,hhtyp,rentown,hgseval,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1997,Single parent,Owner,Just Right,1.00000,79,6230,1.00000,1.00000
1997,Single parent,Tenant,A Bit Too Small,0.22112,52,6230,0.22042,0.22182
1997,Single parent,Tenant,Just Right,0.77888,207,6230,0.77818,0.77958
1997,Couple with children,Owner,A Bit Too Small,0.14564,158,6230,0.14535,0.14593
1997,Couple with children,Owner,Just Right,0.76536,927,6230,0.76501,0.76570
1997,Couple with children,Owner,A Bit Too Large,0.08901,86,6230,0.08877,0.08924
1997,Couple with children,Tenant,Much Too Small,0.05039,83,6230,0.05019,0.05060
1997,Couple with children,Tenant,A Bit Too Small,0.32530,427,6230,0.32487,0.32573
1997,Couple with children,Tenant,Just Right,0.58703,843,6230,0.58657,0.58748
1997,Couple with children,Tenant,A Bit Too Large,0.03728,42,6230,0.03711,0.03746
1997,Multi-generational household,Owner,Just Right,1.00000,53,6230,1.00000,1.00000
1997,Other Combinations,Owner,Just Right,1.00000,53,6230,1.00000,1.00000
