"pli0091_h","year","sampreg","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Taeglich","2001","Westdeutschland","maennlich","","","",""
"Taeglich","2001","Westdeutschland","weiblich","","","",""
"Taeglich","2001","Ostdeutschland","maennlich","","","",""
"Taeglich","2001","Ostdeutschland","weiblich","","","",""
"Min 1x pro Woche","2001","Westdeutschland","maennlich","747","0.0908766665239148","0.0845170070656486","0.097236325982181"
"Min 1x pro Woche","2001","Westdeutschland","weiblich","535","0.0578357352078823","0.0528749908609994","0.0627964795547653"
"Min 1x pro Woche","2001","Ostdeutschland","maennlich","229","0.0791664848381494","0.0688081707166829","0.0895247989596158"
"Min 1x pro Woche","2001","Ostdeutschland","weiblich","162","0.0547023434757054","0.0462765367552677","0.0631281501961431"
"Min 1x pro Monat","2001","Westdeutschland","maennlich","1469","0.18885523854391","0.180195396578718","0.197515080509101"
"Min 1x pro Monat","2001","Westdeutschland","weiblich","1452","0.1546790881066","0.14699465189633","0.162363524316869"
"Min 1x pro Monat","2001","Ostdeutschland","maennlich","553","0.211753871623561","0.1960800665901","0.227427676657023"
"Min 1x pro Monat","2001","Ostdeutschland","weiblich","474","0.152118304437379","0.138811229464071","0.165425379410687"
"Seltener","2001","Westdeutschland","maennlich","3096","0.390687017571473","0.379891810669084","0.401482224473862"
"Seltener","2001","Westdeutschland","weiblich","3306","0.371575773230116","0.361306598187568","0.381844948272664"
