year,quintil_oecd_hh,rentown,hlf0291,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2002,1st Quintile,Tenant,No,0.96175,1651,1717,0.95267,0.97082
2002,2nd Quintile,Owner,Yes,0.05554,45,840,0.04004,0.07104
2002,2nd Quintile,Owner,No,0.94446,795,840,0.92896,0.95996
2002,2nd Quintile,Tenant,Yes,0.05631,65,1400,0.04423,0.06839
2002,2nd Quintile,Tenant,No,0.94369,1335,1400,0.93161,0.95577
2002,3rd Quintile,Owner,Yes,0.05199,49,1041,0.03850,0.06548
2002,3rd Quintile,Owner,No,0.94801,992,1041,0.93452,0.96150
2002,3rd Quintile,Tenant,Yes,0.04095,45,1231,0.02988,0.05203
2002,3rd Quintile,Tenant,No,0.95905,1186,1231,0.94797,0.97012
2002,4th Quintile,Owner,Yes,0.04358,53,1323,0.03258,0.05459
2002,4th Quintile,Owner,No,0.95642,1270,1323,0.94541,0.96742
2002,4th Quintile,Tenant,No,0.96490,1012,1012,0.95355,0.97624
2002,5th Quintile,Owner,Yes,0.03600,64,2258,0.02832,0.04369
2002,5th Quintile,Owner,No,0.96400,2194,2258,0.95631,0.97168
2002,5th Quintile,Tenant,No,0.98871,962,962,0.98203,0.99539
2003,1st Quintile,Owner,No,0.95969,343,343,0.93884,0.98053
2003,1st Quintile,Tenant,Yes,0.03840,54,1695,0.02925,0.04755
2003,1st Quintile,Tenant,No,0.96160,1641,1695,0.95245,0.97075
2003,2nd Quintile,Owner,Yes,0.05649,44,826,0.04074,0.07225
2003,2nd Quintile,Owner,No,0.94351,782,826,0.92775,0.95926
2003,2nd Quintile,Tenant,Yes,0.06096,73,1382,0.04834,0.07358
2003,2nd Quintile,Tenant,No,0.93768,1309,1382,0.92493,0.95043
2003,3rd Quintile,Owner,Yes,0.04663,54,1050,0.03387,0.05939
2003,3rd Quintile,Owner,No,0.95337,996,1050,0.94061,0.96613
2003,3rd Quintile,Tenant,Yes,0.05507,58,1182,0.04206,0.06807
2003,3rd Quintile,Tenant,No,0.94493,1124,1182,0.93193,0.95794
