year,age_gr,migback,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1997,30-45 y.,Direct migration background,812,0.12278709861512399,0.10907118117325622,0.13650301605699178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997,30-45 y.,Indirect migration background,68,0.3458581543619607,0.264811318890983,0.4269049898329384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997,46-65 y.,No migration background,2870,0.25301406001788174,0.22557754172574018,0.2804505783100233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997,46-65 y.,Direct migration background,932,0.1574275165426673,0.13623109882108161,0.17862393426425296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997,46-65 y.,Indirect migration background,,,,,,,,,,,,
1997,66 and older,No migration background,1315,0.2989277691710117,0.27371619870896136,0.3241393396330621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997,66 and older,Direct migration background,230,0.24057432849964616,0.20623762345072513,0.2749110335485672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997,66 and older,Indirect migration background,,,,,,,,,,,,
1998,under 18 y.,No migration background,,,,,,,,,,,,
1998,under 18 y.,Direct migration background,,,,,,,,,,,,
1998,under 18 y.,Indirect migration background,,,,,,,,,,,,
1998,18-29 y.,No migration background,2063,0.13648361844327675,0.1261643198737159,0.1468029170128376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998,18-29 y.,Direct migration background,418,0.17576916674037185,0.15416470410070926,0.19737362938003444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998,18-29 y.,Indirect migration background,433,0.08171220141303084,0.06580591182960852,0.09761849099645317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998,30-45 y.,No migration background,3933,0.13472238403248557,0.12493140905873566,0.14451335900623546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998,30-45 y.,Direct migration background,781,0.11634393714602931,0.10170777874884013,0.1309800955432185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998,30-45 y.,Indirect migration background,89,0.05492961035492357,0.028374085998946356,0.0814851347109008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998,46-65 y.,No migration background,3414,0.1810907189773157,0.16881851177788654,0.1933629261767449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998,46-65 y.,Direct migration background,923,0.31406319269054245,0.210226786697413,0.4178995986836719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998,46-65 y.,Indirect migration background,,,,,,,,,,,,
1998,66 and older,No migration background,1578,0.2825279372141336,0.26512192728978334,0.29993394713848387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998,66 and older,Direct migration background,244,0.24474454915164248,0.1895893546204367,0.2998997436828483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998,66 and older,Indirect migration background,,,,,,,,,,,,
1999,under 18 y.,No migration background,,,,,,,,,,,,
1999,under 18 y.,Direct migration background,,,,,,,,,,,,
1999,under 18 y.,Indirect migration background,,,,,,,,,,,,
1999,18-29 y.,No migration background,1956,0.13343421240828587,0.122677619582207,0.14419080523436473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999,18-29 y.,Direct migration background,356,0.15649854370789454,0.11989799904668066,0.1930990883691084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999,18-29 y.,Indirect migration background,432,0.06273362740105509,0.050550655306257686,0.0749165994958525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999,30-45 y.,No migration background,3861,0.12212696220697451,0.11419670021162505,0.130057224202324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999,30-45 y.,Direct migration background,734,0.17245476096866766,0.153195796821292,0.19171372511604332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999,30-45 y.,Indirect migration background,98,0.061742431340469354,0.03625089917710535,0.08723396350383336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999,46-65 y.,No migration background,3297,0.19416349817996814,0.182735147520616,0.20559184883932027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999,46-65 y.,Direct migration background,839,0.18338590865317428,0.14759670440116357,0.219175112905185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999,46-65 y.,Indirect migration background,,,,,,,,,,,,
1999,66 and older,No migration background,1531,0.3441293708951925,0.31909017560355274,0.3691685661868323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999,66 and older,Direct migration background,244,0.2598596686640674,0.20354950812156905,0.3161698292065657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999,66 and older,Indirect migration background,,,,,,,,,,,,
2000,under 18 y.,No migration background,,,,,,,,,,,,
2000,under 18 y.,Direct migration background,,,,,,,,,,,,
2000,under 18 y.,Indirect migration background,,,,,,,,,,,,
2000,18-29 y.,No migration background,3065,0.12410320203547706,0.11593665431221599,0.13226974975873815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
