year,pgisced97,sampreg,pli0081,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2008,Post-secondary Non-tertiary Level,East,At least once per week,0.534155246160617,63,18613,0.5324823595103458,0.5358281328108883
2008,Post-secondary Non-tertiary Level,East,At least once per month,0.46584475383938295,61,18613,0.4641718671891117,0.4675176404896542
2008,First Stage of Tertiary Education,West,Daily,0.07722011782691432,79,18613,0.07694914770747784,0.0774910879463508
2008,First Stage of Tertiary Education,West,At least once per week,0.3825309470969812,383,18613,0.38203760519963254,0.3830242889943299
2008,First Stage of Tertiary Education,West,At least once per month,0.3274041005888395,329,18613,0.32692775046907163,0.3278804507086074
2008,First Stage of Tertiary Education,West,Seldom,0.2128448344872649,222,18613,0.21242933657478677,0.21326033239974304
2008,First Stage of Tertiary Education,East,At least once per week,0.39679807364242325,140,18613,0.39580680808949487,0.39778933919535164
2008,First Stage of Tertiary Education,East,At least once per month,0.413468419850175,138,18613,0.4124706261688182,0.41446621353153185
2008,First Stage of Tertiary Education,East,Seldom,0.1897335065074017,67,18613,0.18893906882897213,0.19052794418583127
2008,Second Stage of Tertiary Education,West,Daily,0.0394729835993683,146,18613,0.0393481225217092,0.0395978446770274
2008,Second Stage of Tertiary Education,West,At least once per week,0.2973087288974664,919,18613,0.2970156338912142,0.2976018239037186
2008,Second Stage of Tertiary Education,West,At least once per month,0.36345124055264894,1069,18613,0.3631428072775955,0.36375967382770236
2008,Second Stage of Tertiary Education,West,Seldom,0.27138801099397325,754,18613,0.2711028659713266,0.2716731560166199
2008,Second Stage of Tertiary Education,West,Never,0.02837903595654305,56,18613,0.028272555582743206,0.028485516330342894
2008,Second Stage of Tertiary Education,East,Daily,0.05013469695595955,74,18613,0.049876279065814495,0.0503931148461046
2008,Second Stage of Tertiary Education,East,At least once per week,0.3854899198182986,470,18613,0.3849135604110508,0.3860662792255464
2008,Second Stage of Tertiary Education,East,At least once per month,0.355334818079879,441,18613,0.35476804611876284,0.35590159004099514
2008,Second Stage of Tertiary Education,East,Seldom,0.20904056514586286,245,18613,0.20855904467149058,0.20952208562023514
2013,Pre-primary Level,West,At least once per week,0.28285709134813464,116,24732,0.2816992809755699,0.2840149017206994
2013,Pre-primary Level,West,At least once per month,0.38954548102156733,145,24732,0.3882918873585986,0.39079907468453606
2013,Pre-primary Level,West,Seldom,0.32759742763029803,101,24732,0.3263909036148154,0.3288039516457807
2013,Primary Level,West,Daily,0.1373676971937743,39,24732,0.1364659346647869,0.13826945972276172
2013,Primary Level,West,At least once per week,0.39334011567420984,102,24732,0.392060458083518,0.39461977326490166
2013,Primary Level,West,At least once per month,0.25595434081248614,58,24732,0.2548111517493506,0.2570975298756217
2013,Primary Level,West,Seldom,0.21333784631952973,59,24732,0.21226468478144828,0.2144110078576112
2013,Lower Secondary Level,West,Daily,0.0958913948092214,238,24732,0.09565101515780283,0.09613177446063997
2013,Lower Secondary Level,West,At least once per week,0.40465527863574086,911,24732,0.40425457393208153,0.4050559833394002
2013,Lower Secondary Level,West,At least once per month,0.24469478489295382,533,24732,0.24434381393574506,0.24504575585016258
2013,Lower Secondary Level,West,Seldom,0.2127201878141275,461,24732,0.2123860954934449,0.2130542801348101
2013,Lower Secondary Level,West,Never,0.042038353847956386,98,24732,0.04187452344732979,0.042202184248582984
