year,quintil_oecd_hh,regtyp,hgeqpter,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2012,5th Quintile,Rural regions,No,0.004002932001723864,69,16297,0.0039832853384282356,0.004022578665019492
2013,1st Quintile,Urban regions,Yes,0.08855124727251337,1973,17862,0.08846311079385698,0.08863938375116977
2013,1st Quintile,Urban regions,No,0.042125185988302026,777,17862,0.042062867412595274,0.04218750456400878
2013,1st Quintile,Rural regions,Yes,0.04232978072119609,968,17862,0.04226731766541624,0.042392243776975945
2013,1st Quintile,Rural regions,No,0.027129071073227165,492,17862,0.02707867028820521,0.02717947185824912
2013,2nd Quintile,Urban regions,Yes,0.09847674250200211,1912,17862,0.09838430514258832,0.0985691798614159
2013,2nd Quintile,Urban regions,No,0.029707495746451817,464,17862,0.02965482413734647,0.029760167355557164
2013,2nd Quintile,Rural regions,Yes,0.05298802024737146,1129,17862,0.052918524407247605,0.053057516087495316
2013,2nd Quintile,Rural regions,No,0.01884192261414329,359,17862,0.018799740890133997,0.01888410433815258
2013,3rd Quintile,Urban regions,Yes,0.10993732732723621,1852,17862,0.1098402818930285,0.11003437276144393
2013,3rd Quintile,Urban regions,No,0.019720983922994224,311,17862,0.019677848767414383,0.019764119078574064
2013,3rd Quintile,Rural regions,Yes,0.05469485663689845,986,17862,0.05462431403392954,0.05476539923986736
2013,3rd Quintile,Rural regions,No,0.015509101212763375,261,17862,0.015470766572329174,0.015547435853197577
2013,4th Quintile,Urban regions,Yes,0.11758222830097306,1825,17862,0.11748229731041367,0.11768215929153246
2013,4th Quintile,Urban regions,No,0.01596587947796107,256,17862,0.015926993437099714,0.016004765518822423
2013,4th Quintile,Rural regions,Yes,0.05808025804082268,906,17862,0.058007695339083835,0.05815282074256153
2013,4th Quintile,Rural regions,No,0.008583953427584124,147,17862,0.008555333806833392,0.008612573048334857
2013,5th Quintile,Urban regions,Yes,0.14162738522947924,2260,17862,0.1415192159911777,0.14173555446778077
2013,5th Quintile,Urban regions,No,0.014180357605303723,193,17862,0.014143677164058151,0.014217038046549295
2013,5th Quintile,Rural regions,Yes,0.04060024515556153,727,17862,0.04053901626987309,0.040661474041249965
2013,5th Quintile,Rural regions,No,0.0033679574972150387,64,17862,0.0033499835711776798,0.0033859314232523975
2014,1st Quintile,Urban regions,Yes,0.09280136383395865,1613,15823,0.09271165528416227,0.09289107238375503
2014,1st Quintile,Urban regions,No,0.04036709237870206,602,15823,0.04030624081219928,0.040427943945204846
2014,1st Quintile,Rural regions,Yes,0.043274215205020505,832,15823,0.043211306057226465,0.043337124352814546
2014,1st Quintile,Rural regions,No,0.023234698345308818,402,15823,0.02318812160475544,0.023281275085862196
2014,2nd Quintile,Urban regions,Yes,0.09976811310648913,1662,15823,0.09967545604187737,0.09986077017110088
2014,2nd Quintile,Urban regions,No,0.02734163366181617,378,15823,0.027291214240622128,0.02739205308301021
2014,2nd Quintile,Rural regions,Yes,0.05100420622280716,943,15823,0.05093618560023045,0.051072226845383865
2014,2nd Quintile,Rural regions,No,0.021930377460990504,346,15823,0.021885096732951886,0.02197565818902912
2014,3rd Quintile,Urban regions,Yes,0.1104283390656989,1653,15823,0.11033143629341191,0.1105252418379859
2014,3rd Quintile,Urban regions,No,0.019124249083563232,267,15823,0.019081903837860886,0.01916659432926558
2014,3rd Quintile,Rural regions,Yes,0.05608275784845194,929,15823,0.056011622231438504,0.05615389346546537
2014,3rd Quintile,Rural regions,No,0.01460839798513993,240,15823,0.014571303342913075,0.014645492627366785
