year,bula_h,sampreg,plb0218_v1,proportion,n,lower_confidence,upper_confidence
2013,Baden-Württemberg,Westdeutschland,"Nein, nie",0.0534287187419438,44486,0.05133890089176862,0.05551853659211898
2013,Nordrhein-Westfalen,Westdeutschland,Seltener,0.04666151069863367,44486,0.04470155004094292,0.048621471356324414
2013,Bayern,Westdeutschland,Seltener,0.035898427429749934,44486,0.03416963241966772,0.037627222439832145
2013,Niedersachsen,Westdeutschland,"Nein, nie",0.03480278422273782,44486,0.033099608659652724,0.03650595978582291
2013,Nordrhein-Westfalen,Westdeutschland,"Ja, alle 2 Wochen",0.029453467388502193,44486,0.02788230603392153,0.031024628743082854
2013,Baden-Württemberg,Westdeutschland,Seltener,0.029066769786027326,44486,0.027505645569648973,0.03062789400240568
2013,Nordrhein-Westfalen,Westdeutschland,"Ja, jede Woche",0.02797112657901521,44486,0.026438843680096667,0.029503409477933753
2013,Bayern,Westdeutschland,"Ja, jede Woche",0.025908739365815933,44486,0.02443246405340562,0.027385014678226245
2013,Hessen,Westdeutschland,"Nein, nie",0.024813096158803817,44486,0.023367560524472055,0.02625863179313558
2013,Bayern,Westdeutschland,"Ja, alle 2 Wochen",0.022879608146429493,44486,0.02149015878960525,0.024269057503253734
2013,Sachsen,Ostdeutschland,"Nein, nie",0.022815158546017015,44486,0.02142762178240708,0.02420269530962695
2013,Niedersachsen,Westdeutschland,Seltener,0.02242846094354215,44486,0.021052461039406205,0.023804460847678097
2013,"Rheinland-Pfalz,Saarland",Westdeutschland,"Nein, nie",0.021977313740654807,44486,0.02061490895324482,0.023339718528064792
2013,Hessen,Westdeutschland,Seltener,0.019205980922918277,44486,0.017930565854705538,0.020481395991131017
2013,Sachsen,Ostdeutschland,Seltener,0.01720804331013148,44486,0.0159995592274169,0.018416527392846056
2013,Niedersachsen,Westdeutschland,"Ja, alle 2 Wochen",0.016627996906419182,44486,0.015439704614682482,0.017816289198155883
2013,Baden-Württemberg,Westdeutschland,"Ja, alle 2 Wochen",0.01611240010311936,44486,0.014942369408926761,0.017282430797311957
2013,Nordrhein-Westfalen,Westdeutschland,"Ja, alle 3-4 Wochen",0.01533900489816963,44486,0.01419695165076668,0.01648105814557258
2013,Baden-Württemberg,Westdeutschland,"Ja, jede Woche",0.014823408094869811,44486,0.013700419185209783,0.01594639700452984
2013,Schleswig-Holstein,Westdeutschland,"Nein, nie",0.013663315287445217,44486,0.012584529960837292,0.014742100614053143
2013,Bayern,Westdeutschland,"Ja, alle 3-4 Wochen",0.01359886568703274,44486,0.012522592511487454,0.014675138862578025
2013,Thüringen,Ostdeutschland,"Nein, nie",0.01308326888373292,44486,0.012027320276046303,0.014139217491419538
2013,Sachsen-Anhalt,Ostdeutschland,"Nein, nie",0.012696571281258057,44486,0.011656141097785353,0.013737001464730761
2013,Niedersachsen,Westdeutschland,"Ja, jede Woche",0.012503222480020624,44486,0.011470643652941795,0.013535801307099452
2013,"Rheinland-Pfalz,Saarland",Westdeutschland,Seltener,0.012309873678783192,44486,0.011285209516721472,0.013334537840844912
2013,Sachsen,Ostdeutschland,"Ja, alle 2 Wochen",0.012245424078370714,44486,0.011223412460441928,0.0132674356962995
2013,Brandenburg,Ostdeutschland,"Nein, nie",0.011794276875483373,44486,0.01079103942838799,0.012797514322578755
2013,Baden-Württemberg,Westdeutschland,"Ja, alle 3-4 Wochen",0.011665377674658417,44486,0.010667572391123648,0.012663182958193187
2013,Hessen,Westdeutschland,"Ja, alle 2 Wochen",0.010891982469708688,44486,0.009927443629579076,0.011856521309838301
2013,Hessen,Westdeutschland,"Ja, jede Woche",0.010505284867233823,44486,0.009557837597015999,0.011452732137451647
2013,Brandenburg,Ostdeutschland,Seltener,0.008894044856921888,44486,0.008021567643717219,0.009766522070126557
2013,Sachsen-Anhalt,Ostdeutschland,Seltener,0.0085717968548595,44486,0.00771513197617629,0.009428461733542712
2013,Thüringen,Ostdeutschland,Seltener,0.008507347254447023,44486,0.007653881257736269,0.009360813251157776
2013,"Rheinland-Pfalz,Saarland",Westdeutschland,"Ja, alle 2 Wochen",0.008120649651972157,44486,0.007286643596089806,0.008954655707854508
2013,Mecklenburg-Vorpommern,Ostdeutschland,"Nein, nie",0.007669502449084815,44486,0.006858809945295477,0.008480194952874155
2013,Niedersachsen,Westdeutschland,"Ja, alle 3-4 Wochen",0.007669502449084815,44486,0.006858809945295477,0.008480194952874155
2013,Sachsen,Ostdeutschland,"Ja, jede Woche",0.0075406032482598605,44486,0.006736699947142904,0.008344506549376816
2013,Berlin,Westdeutschland,"Nein, nie",0.0075406032482598605,44486,0.006736699947142904,0.008344506549376816
2013,"Rheinland-Pfalz,Saarland",Westdeutschland,"Ja, jede Woche",0.007089456045372518,44486,0.006309794865102177,0.00786911722564286
2013,Brandenburg,Ostdeutschland,"Ja, alle 2 Wochen",0.0069605568445475635,44486,0.006187965863024683,0.007733147826070444
2013,Schleswig-Holstein,Westdeutschland,Seltener,0.0069605568445475635,44486,0.006187965863024683,0.007733147826070444
2013,Schleswig-Holstein,Westdeutschland,"Ja, alle 2 Wochen",0.006831657643722609,44486,0.0060662040371241895,0.007597111250321028
2013,Sachsen,Ostdeutschland,"Ja, alle 3-4 Wochen",0.006573859242072699,44486,0.005822889593321901,0.007324828890823498
2013,Hamburg,Westdeutschland,"Nein, nie",0.006444960041247744,44486,0.005701341050291201,0.0071885790322042875
2013,Berlin,Ostdeutschland,"Nein, nie",0.0063805104408352666,44486,0.005640594889708196,0.0071204259919623375
2013,Thüringen,Ostdeutschland,"Ja, alle 2 Wochen",0.00631606084042279,44486,0.005579867846370516,0.007052253834475063
2013,Hessen,Westdeutschland,"Ja, alle 3-4 Wochen",0.006122712039185357,44486,0.0053978043725210305,0.0068476197058496835
2013,Sachsen-Anhalt,Ostdeutschland,"Ja, alle 2 Wochen",0.00580046403712297,44486,0.005094776350001882,0.006506151724244057
2013,"Rheinland-Pfalz,Saarland",Westdeutschland,"Ja, alle 3-4 Wochen",0.005413766434648105,44486,0.004731874785227677,0.006095658084068534
2013,Mecklenburg-Vorpommern,Ostdeutschland,Seltener,0.004962619231760763,44486,0.004309609628893275,0.005615628834628251
2013,Thüringen,Ostdeutschland,"Ja, jede Woche",0.004962619231760763,44486,0.004309609628893275,0.005615628834628251
2013,Berlin,Westdeutschland,Seltener,0.004962619231760763,44486,0.004309609628893275,0.005615628834628251
2013,Schleswig-Holstein,Westdeutschland,"Ja, jede Woche",0.004898169631348285,44486,0.00424939319804737,0.005546946064649201
2013,Sachsen-Anhalt,Ostdeutschland,"Ja, jede Woche",0.0047048208301108535,44486,0.004068916345981117,0.00534072531424059
2013,Thüringen,Ostdeutschland,"Ja, alle 3-4 Wochen",0.0047048208301108535,44486,0.004068916345981117,0.00534072531424059
2013,Berlin,Ostdeutschland,Seltener,0.004640371229698376,44486,0.004008816827987878,0.005271925631408873
2013,Brandenburg,Ostdeutschland,"Ja, jede Woche",0.004511472028873421,44486,0.003888710670970032,0.00513423338677681
2013,Mecklenburg-Vorpommern,Ostdeutschland,"Ja, alle 2 Wochen",0.0041247744263985565,44486,0.0035291850283099466,0.004720363824487167
2013,Hamburg,Westdeutschland,Seltener,0.0037380768239236918,44486,0.0031709825398224534,0.00430517110802493
2013,Berlin,Westdeutschland,"Ja, alle 2 Wochen",0.003609177623098737,44486,0.0030519105537892936,0.00416644469240818
2013,Sachsen-Anhalt,Ostdeutschland,"Ja, alle 3-4 Wochen",0.003609177623098737,44486,0.0030519105537892936,0.00416644469240818
2013,Bremen,Westdeutschland,"Nein, nie",0.003158030420211395,44486,0.0026366368100517765,0.003679424030371013
2013,Brandenburg,Ostdeutschland,"Ja, alle 3-4 Wochen",0.00302913121938644,44486,0.00251845613378391,0.0035398063049889702
2013,Schleswig-Holstein,Westdeutschland,"Ja, alle 3-4 Wochen",0.002577984016499098,44486,0.0021067637312229786,0.003049204301775217
2013,Mecklenburg-Vorpommern,Ostdeutschland,"Ja, jede Woche",0.0025135344160866204,44486,0.0020482266334785957,0.002978842198694645
2013,Hamburg,Westdeutschland,"Ja, alle 2 Wochen",0.0023846352152616652,44486,0.001931386132564361,0.0028378842979589697
2013,Berlin,Westdeutschland,"Ja, jede Woche",0.0023846352152616652,44486,0.001931386132564361,0.0028378842979589697
2013,Berlin,Ostdeutschland,"Ja, jede Woche",0.002191286414024233,44486,0.0017567585689925202,0.002625814259055946
2013,Berlin,Ostdeutschland,"Ja, alle 2 Wochen",0.002191286414024233,44486,0.0017567585689925202,0.002625814259055946
2013,Mecklenburg-Vorpommern,Ostdeutschland,"Ja, alle 3-4 Wochen",0.0019334880123743233,44486,0.0015252674501617098,0.0023417085745869367
2013,Bremen,Westdeutschland,Seltener,0.0018690384119618459,44486,0.0014676662296318895,0.0022704105942918025
2013,Berlin,Ostdeutschland,"Ja, alle 3-4 Wochen",0.0016756896107244135,44486,0.0012956078716539288,0.0020557713497948984
2013,Hamburg,Westdeutschland,"Ja, jede Woche",0.001611240010311936,44486,0.0012385271716223232,0.001983952849001549
2013,Hamburg,Westdeutschland,"Ja, alle 3-4 Wochen",0.001482340809486981,44486,0.0011248241365427781,0.001839857482431184
2013,Berlin,Westdeutschland,"Ja, alle 3-4 Wochen",0.001482340809486981,44486,0.0011248241365427781,0.001839857482431184
2013,Bremen,Westdeutschland,"Ja, alle 2 Wochen",0.0008378448053622067,44486,0.0005689736760276403,0.0011067159346967732
2013,Bremen,Westdeutschland,"Ja, jede Woche",0.0007089456045372519,44486,0.00046160418466738133,0.0009562870244071224
2013,Bremen,Westdeutschland,"Ja, alle 3-4 Wochen",0.0006444960041247745,44486,0.00040865760863894864,0.0008803343996106002
2015,Nordrhein-Westfalen,Westdeutschland,"Nein, nie",0.0869138709044536,38036,0.08408274573361119,0.08974499607529601
2015,Bayern,Westdeutschland,"Nein, nie",0.07102216990386502,38036,0.06844075213381055,0.07360358767391949
2015,Baden-Württemberg,Westdeutschland,"Nein, nie",0.05244915309659277,38036,0.05020873457652559,0.054689571616659945
2015,Nordrhein-Westfalen,Westdeutschland,Seltener,0.0432934405859656,38036,0.041248130884384566,0.04533875028754663
