year,bula_h,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1994,Berlin,302,1767.59034,1639.28492,1895.89577,1023.00000,1534.00000,2301.00000,256.00000,4218.00000,1534.00000,1378.82500,1771.47500
1994,Brandenburg,285,1442.83090,1358.91437,1526.74743,849.33277,1329.00000,1892.00000,286.00000,3456.00085,1329.00000,1277.37500,1534.00000
1994,Mecklenburg-Western Pomerania,189,1463.99435,1344.83945,1583.14925,920.00000,1278.00000,1790.00000,307.00000,3095.00000,1278.00000,1175.37500,1534.00000
1994,Saxony,540,1390.69156,1332.70565,1448.67748,919.95063,1278.00000,1790.00000,256.00000,3095.07406,1278.00000,1227.00000,1329.00000
1994,Saxony-Anhalt,333,1407.37275,1334.40614,1480.33936,874.64068,1329.00000,1790.00000,307.00000,3163.03898,1329.00000,1252.47500,1459.00000
1994,Thuringa,319,1286.75451,1216.33841,1357.17060,818.00000,1176.00000,1636.00000,153.00000,2863.00000,1176.00000,1038.00000,1278.00000
1995,Schleswig-Holstein,145,2086.80194,1776.67253,2396.93136,1326.73367,1790.00000,2505.00000,290.00000,4272.39949,1790.00000,1534.00000,1943.00000
1995,Hamburg,76,1590.12887,1396.89179,1783.36596,1047.49738,1363.25014,2045.00000,409.00000,3541.25393,1396.00000,1225.72500,1585.00000
1995,Lower Saxony,508,1847.38397,1753.16645,1941.60150,1161.50791,1636.00000,2352.00000,301.00000,4137.73813,1636.00000,1534.00000,1790.00000
1995,Bremen,52,1426.90023,1206.59456,1647.20590,932.38741,1223.34571,1916.99044,409.00000,3393.89498,1227.00000,971.00000,1435.82500
1995,North Rhine-Westphalia,1222,1938.65296,1870.00962,2007.29629,1125.00000,1689.32681,2505.00000,307.00000,4575.00000,1687.00000,1608.40000,1790.00000
1995,Hesse,459,2078.63647,1901.50360,2255.76934,1074.00000,1790.00000,2454.00000,319.00000,4524.00000,1790.00000,1534.00000,1943.00000
1995,"Rhineland-Palatinate, Saarland",332,1792.19734,1698.75956,1885.63511,1125.00000,1636.00000,2301.00000,409.00000,4065.00000,1636.00000,1493.00000,1892.00000
1995,Baden-Wuerttemberg,803,1943.39337,1849.97027,2036.81648,1176.00000,1667.10590,2452.44472,297.00000,4367.11180,1672.00000,1563.25000,1790.00000
1995,Bavaria,821,1899.91974,1828.03884,1971.80065,1074.00000,1687.00000,2556.00000,205.00000,4779.00000,1687.00000,1534.00000,1790.00000
1995,Berlin,314,1737.83240,1622.43308,1853.23172,1023.00000,1432.00000,2284.87086,205.00000,4177.67714,1432.00000,1348.85000,1637.00000
1995,Brandenburg,269,1543.72956,1455.74443,1631.71469,971.46159,1432.00000,1943.00000,256.00000,3400.30762,1432.00000,1329.00000,1535.27500
1995,Mecklenburg-Western Pomerania,194,1542.54470,1425.68366,1659.40575,992.08053,1421.61748,1943.00000,294.00000,3369.37921,1409.00000,1278.00000,1534.00000
