"year","bula_h","regtyp","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"1992","Niedersachsen","Staedtischer Raum","11.44","10.25","458","9","10.5","12","15","18","11.21","11.67","7","18","10.5","10.5"
"1992","Nordrhein-Westfalen","Laendlicher Raum","11.08","10.25","63","9","10.5","11.5","13","18","10.63","11.53","7","18","10.5","11.5"
"1992","Nordrhein-Westfalen","Staedtischer Raum","","","","","","","","","","","","","",""
"1992","Rheinland-Pfalz,Saarland","Laendlicher Raum","","","","","","","","","","","","","",""
"1992","Rheinland-Pfalz,Saarland","Staedtischer Raum","10.77","10.25","535","9","9","11.5","13","18","10.59","10.95","7","18","10.5","10.5"
"1992","Saarland","Laendlicher Raum","","","","","","","","","","","","","",""
"1992","Saarland","Staedtischer Raum","","","","","","","","","","","","","",""
"1992","Sachsen","Laendlicher Raum","","","","","","","","","","","","","",""
"1992","Sachsen","Staedtischer Raum","","","","","","","","","","","","","",""
"1992","Sachsen-Anhalt","Laendlicher Raum","","","","","","","","","","","","","",""
"1992","Sachsen-Anhalt","Staedtischer Raum","","","","","","","","","","","","","",""
"1992","Schleswig-Holstein","Laendlicher Raum","","","","","","","","","","","","","",""
"1992","Schleswig-Holstein","Staedtischer Raum","","","","","","","","","","","","","",""
"1992","Thueringen","Laendlicher Raum","","","","","","","","","","","","","",""
"1992","Thueringen","Staedtischer Raum","","","","","","","","","","","","","",""
"1993","Baden-Wuerttemberg","Laendlicher Raum","","","","","","","","","","","","","",""
"1993","Baden-Wuerttemberg","Staedtischer Raum","","","","","","","","","","","","","",""
"1993","Bayern","Laendlicher Raum","10.97","10.25","789","9","10","11.5","13.5","18","10.83","11.11","7","18","10.5","10.5"
"1993","Bayern","Staedtischer Raum","11.77","10.75","767","9","10.5","12","16","18","11.58","11.96","7","18","10.5","10.5"
"1993","Berlin","Laendlicher Raum","","","","","","","","","","","","","",""
"1993","Berlin","Staedtischer Raum","","","","","","","","","","","","","",""
"1993","Brandenburg","Laendlicher Raum","","","","","","","","","","","","","",""
"1993","Brandenburg","Staedtischer Raum","","","","","","","","","","","","","",""
"1993","Bremen","Laendlicher Raum","","","","","","","","","","","","","",""
"1993","Bremen","Staedtischer Raum","10.52","10.25","90","9","9","11.5","12","16","10.2","10.84","7","16","10.5","10.5"
"1993","Hamburg","Laendlicher Raum","","","","","","","","","","","","","",""
"1993","Hamburg","Staedtischer Raum","","","","","","","","","","","","","",""
"1993","Hessen","Laendlicher Raum","","","","","","","","","","","","","",""
"1993","Hessen","Staedtischer Raum","11.44","10.25","764","9","10","11.5","16","18","11.26","11.62","7","18","10.5","10.5"
"1993","Mecklenburg-Vorpommern","Laendlicher Raum","","","","","","","","","","","","","",""
"1993","Mecklenburg-Vorpommern","Staedtischer Raum","","","","","","","","","","","","","",""
"1993","Niedersachsen","Laendlicher Raum","10.98","10.25","492","9","9","11.5","14","18","10.79","11.17","7","18","10.5","10.5"
"1993","Niedersachsen","Staedtischer Raum","11.42","10.25","457","9","10.5","12","15","18","11.19","11.65","7","18","10.5","10.5"
"1993","Nordrhein-Westfalen","Laendlicher Raum","10.93","10.25","62","9","10.5","11.5","13","18","10.51","11.35","7","18","10.5","11"
"1993","Nordrhein-Westfalen","Staedtischer Raum","","","","","","","","","","","","","",""
"1993","Rheinland-Pfalz,Saarland","Laendlicher Raum","","","","","","","","","","","","","",""
"1993","Rheinland-Pfalz,Saarland","Staedtischer Raum","10.72","10.25","521","9","9","11","13","18","10.54","10.9","7","18","10.5","10.5"
"1993","Saarland","Laendlicher Raum","","","","","","","","","","","","","",""
"1993","Saarland","Staedtischer Raum","","","","","","","","","","","","","",""
"1993","Sachsen","Laendlicher Raum","","","","","","","","","","","","","",""
"1993","Sachsen","Staedtischer Raum","","","","","","","","","","","","","",""
"1993","Sachsen-Anhalt","Laendlicher Raum","","","","","","","","","","","","","",""
"1993","Sachsen-Anhalt","Staedtischer Raum","","","","","","","","","","","","","",""
"1993","Schleswig-Holstein","Laendlicher Raum","","","","","","","","","","","","","",""
"1993","Schleswig-Holstein","Staedtischer Raum","","","","","","","","","","","","","",""
"1993","Thueringen","Laendlicher Raum","","","","","","","","","","","","","",""
"1993","Thueringen","Staedtischer Raum","","","","","","","","","","","","","",""
"1994","Baden-Wuerttemberg","Laendlicher Raum","","","","","","","","","","","","","",""
"1994","Baden-Wuerttemberg","Staedtischer Raum","","","","","","","","","","","","","",""
"1994","Bayern","Laendlicher Raum","11.04","10.25","776","9","10","11.5","14","18","10.89","11.19","7","18","10.5","10.5"
"1994","Bayern","Staedtischer Raum","11.81","10.75","739","9","10.5","12","18","18","11.62","12","7","18","10.5","10.5"
"1994","Berlin","Laendlicher Raum","","","","","","","","","","","","","",""
"1994","Berlin","Staedtischer Raum","","","","","","","","","","","","","",""
"1994","Brandenburg","Laendlicher Raum","","","","","","","","","","","","","",""
"1994","Brandenburg","Staedtischer Raum","","","","","","","","","","","","","",""
"1994","Bremen","Laendlicher Raum","","","","","","","","","","","","","",""
"1994","Bremen","Staedtischer Raum","10.6","10.25","86","9","9","11.5","12","16","10.23","10.97","7","18","10.5","10.5"
"1994","Hamburg","Laendlicher Raum","","","","","","","","","","","","","",""
"1994","Hamburg","Staedtischer Raum","","","","","","","","","","","","","",""
"1994","Hessen","Laendlicher Raum","","","","","","","","","","","","","",""
"1994","Hessen","Staedtischer Raum","11.45","10.25","754","9","10","12","16","18","11.26","11.64","7","18","10.5","10.5"
