year,bula_h,pgisced97,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1987,Nordrhein-Westfalen,middle vocational,1336,1.1620058843540335,1.0878221478564323,1.2361896208516348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987,Nordrhein-Westfalen,vocational + Abi,84,0.8233349268128672,0.5735726668351332,1.0730971867906014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987,Nordrhein-Westfalen,higher vocational,146,1.765768501277726,1.4978064358352379,2.033730566720214,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0
1987,Nordrhein-Westfalen,higher education,220,1.4435168794041966,1.2563510312378814,1.6306827275705118,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0
1987,Hessen,in school,,,,,,,,,,,,
1987,Hessen,inadequately,80,1.428009187870972,1.182983381409258,1.6730349943326859,0.0,0.0,2.0122995382748985,0.0,5.030748845687246,0.0,-0.025000000000005684,0.0
1987,Hessen,general elemantary,276,0.9644765643338757,0.8223376936889036,1.106615434978848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987,Hessen,middle vocational,480,1.3792100822983813,1.2437954597082017,1.5146247048885608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987,Hessen,vocational + Abi,33,1.25948534451978,0.8058493090434327,1.7131213799961273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987,Hessen,higher vocational,48,1.8110686025776455,1.224488990607886,2.397648214547405,0.0,0.0,1.9046254344149878,0.0,4.76156358603747,0.0,0.0,0.0
1987,Hessen,higher education,92,1.6527125985438873,1.3531965623377256,1.952228634750049,0.0,0.0,2.614303602283935,0.0,6.5357590057098385,0.0,0.0,0.0
1987,"Rheinland-Pfalz,Saarland",in school,,,,,,,,,,,,
1987,"Rheinland-Pfalz,Saarland",inadequately,46,1.3573850662285893,0.9220751532161447,1.792694979241034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987,"Rheinland-Pfalz,Saarland",general elemantary,249,0.957528384528629,0.8120139774638834,1.1030427915933747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987,"Rheinland-Pfalz,Saarland",middle vocational,367,0.9877433095379688,0.873973749603336,1.1015128694726017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987,"Rheinland-Pfalz,Saarland",vocational + Abi,,,,,,,,,,,,
1987,"Rheinland-Pfalz,Saarland",higher vocational,,,,,,,,,,,,
1987,"Rheinland-Pfalz,Saarland",higher education,39,1.529024826516483,1.0532562686551596,2.0047933843778063,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0
1987,Baden-Württemberg,in school,,,,,,,,,,,,
1987,Baden-Württemberg,inadequately,217,2.459568021627827,2.1979750448245805,2.7211609984310736,0.0,0.0,4.0,0.0,10.0,0.0,0.0,0.0
1987,Baden-Württemberg,general elemantary,574,0.997891913763331,0.8985221967672636,1.0972616307593983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
