year,age_gr,migback,hospitalyn,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2005,30-45 y.,No migration background,Yes,0.09103044482213485,446,20562,0.09089118605152319,0.09116970359274651
2005,30-45 y.,No migration background,No,0.9089695551778653,4588,20562,0.9088302964072535,0.909108813948477
2005,30-45 y.,Direct migration background,Yes,0.09318098428610978,67,20562,0.09284844860324888,0.09351351996897068
2005,30-45 y.,Direct migration background,No,0.9068190157138903,728,20562,0.9064864800310294,0.9071515513967513
2005,30-45 y.,Indirect migration background,No,1.0,216,20562,1.0,1.0
2005,46-65 y.,No migration background,Yes,0.11543584420440539,678,20562,0.11528784458291436,0.11558384382589643
2005,46-65 y.,No migration background,No,0.8845641557955946,5378,20562,0.8844161561741035,0.8847121554170856
2005,46-65 y.,Direct migration background,Yes,0.10893594678722401,92,20562,0.10859275113432673,0.1092791424401213
2005,46-65 y.,Direct migration background,No,0.891064053212776,794,20562,0.8907208575598787,0.8914072488656734
2005,46-65 y.,Indirect migration background,No,1.0,45,20562,1.0,1.0
2005,66 and older,No migration background,Yes,0.19136396951157014,633,20562,0.19115296304395407,0.1915749759791862
2005,66 and older,No migration background,No,0.8086360304884298,2747,20562,0.8084250240208137,0.8088470369560459
2005,66 and older,Direct migration background,Yes,0.19785656776530264,73,20562,0.19720659061091914,0.19850654491968614
2005,66 and older,Direct migration background,No,0.8021434322346973,290,20562,0.8014934550803138,0.8027934093890808
2006,17-29 y.,No migration background,Yes,0.08785176031233662,237,21822,0.08766244709575473,0.0880410735289185
2006,17-29 y.,No migration background,No,0.9121482396876633,2645,21822,0.9119589264710815,0.9123375529042452
2006,17-29 y.,Direct migration background,No,1.0,295,21822,1.0,1.0
2006,17-29 y.,Indirect migration background,No,1.0,440,21822,1.0,1.0
2006,30-45 y.,No migration background,Yes,0.08340439903816511,429,21822,0.08326834834426193,0.0835404497320683
2006,30-45 y.,No migration background,No,0.9165956009618348,4784,21822,0.9164595502679316,0.916731651655738
2006,30-45 y.,Direct migration background,Yes,0.07421800484953717,60,21822,0.07391489716040706,0.07452111253866728
2006,30-45 y.,Direct migration background,No,0.9257819951504629,725,21822,0.9254788874613328,0.926085102839593
2006,30-45 y.,Indirect migration background,No,1.0,247,21822,1.0,1.0
2006,46-65 y.,No migration background,Yes,0.1132964391871208,731,21822,0.11314978626428308,0.11344309210995852
2006,46-65 y.,No migration background,No,0.8867035608128792,5902,21822,0.8865569078900414,0.8868502137357169
2006,46-65 y.,Direct migration background,Yes,0.13459331444972303,98,21822,0.1342176916038128,0.13496893729563325
2006,46-65 y.,Direct migration background,No,0.8654066855502771,780,21822,0.8650310627043669,0.8657823083961873
2006,46-65 y.,Indirect migration background,No,1.0,44,21822,1.0,1.0
2006,66 and older,No migration background,Yes,0.21628489812513635,822,21822,0.2160682067395697,0.216501589510703
2006,66 and older,No migration background,No,0.7837151018748637,3195,21822,0.783498410489297,0.7839317932604304
2006,66 and older,Direct migration background,Yes,0.22285060783554825,77,21822,0.22217328030331474,0.22352793536778176
2006,66 and older,Direct migration background,No,0.7771493921644518,311,21822,0.7764720646322183,0.7778267196966853
2007,17-29 y.,No migration background,Yes,0.08945140064871734,225,20352,0.0892597950905083,0.08964300620692639
2007,17-29 y.,No migration background,No,0.9105485993512826,2449,20352,0.9103569937930736,0.9107402049094917
2007,17-29 y.,Direct migration background,No,1.0,239,20352,1.0,1.0
2007,17-29 y.,Indirect migration background,No,1.0,414,20352,1.0,1.0
2007,30-45 y.,No migration background,Yes,0.08490424310830222,398,20352,0.08476517615019383,0.08504331006641061
2007,30-45 y.,No migration background,No,0.9150957568916979,4344,20352,0.9149566899335895,0.9152348238498063
