year,migback,quintil_oecd,hospitalyn,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1996,Indirect migration background,3rd Quintile,No,1.00000,91,12917,1.00000,1.00000
1996,Indirect migration background,4th Quintile,No,1.00000,88,12917,1.00000,1.00000
1996,Indirect migration background,5th Quintile,No,1.00000,50,12917,1.00000,1.00000
1997,No migration background,1st Quintile,Yes,0.16188,233,12688,0.16164,0.16212
1997,No migration background,1st Quintile,No,0.83812,1224,12688,0.83788,0.83836
1997,No migration background,2nd Quintile,Yes,0.15604,260,12688,0.15581,0.15626
1997,No migration background,2nd Quintile,No,0.84396,1678,12688,0.84374,0.84419
1997,No migration background,3rd Quintile,Yes,0.13786,246,12688,0.13765,0.13806
1997,No migration background,3rd Quintile,No,0.86214,1798,12688,0.86194,0.86235
1997,No migration background,4th Quintile,Yes,0.10569,230,12688,0.10552,0.10587
1997,No migration background,4th Quintile,No,0.89431,1966,12688,0.89413,0.89448
1997,No migration background,5th Quintile,Yes,0.10437,227,12688,0.10420,0.10454
1997,No migration background,5th Quintile,No,0.89563,1896,12688,0.89546,0.89580
1997,Direct migration background,1st Quintile,Yes,0.14249,109,12688,0.14208,0.14290
1997,Direct migration background,1st Quintile,No,0.85751,653,12688,0.85710,0.85792
1997,Direct migration background,2nd Quintile,Yes,0.11565,68,12688,0.11521,0.11610
1997,Direct migration background,2nd Quintile,No,0.88435,587,12688,0.88390,0.88479
1997,Direct migration background,3rd Quintile,Yes,0.12827,43,12688,0.12775,0.12879
1997,Direct migration background,3rd Quintile,No,0.87173,370,12688,0.87121,0.87225
1997,Direct migration background,4th Quintile,Yes,0.11663,45,12688,0.11612,0.11714
1997,Direct migration background,4th Quintile,No,0.88337,326,12688,0.88286,0.88388
1997,Direct migration background,5th Quintile,No,1.00000,226,12688,1.00000,1.00000
1997,Indirect migration background,1st Quintile,No,1.00000,133,12688,1.00000,1.00000
1997,Indirect migration background,2nd Quintile,No,1.00000,143,12688,1.00000,1.00000
1997,Indirect migration background,3rd Quintile,No,1.00000,86,12688,1.00000,1.00000
1997,Indirect migration background,4th Quintile,No,1.00000,82,12688,1.00000,1.00000
1997,Indirect migration background,5th Quintile,No,1.00000,59,12688,1.00000,1.00000
1998,No migration background,1st Quintile,Yes,0.15428,210,12243,0.15402,0.15454
1998,No migration background,1st Quintile,No,0.84572,1213,12243,0.84546,0.84598
1998,No migration background,2nd Quintile,Yes,0.13686,238,12243,0.13663,0.13709
1998,No migration background,2nd Quintile,No,0.86314,1625,12243,0.86291,0.86337
1998,No migration background,3rd Quintile,Yes,0.13081,264,12243,0.13059,0.13102
1998,No migration background,3rd Quintile,No,0.86919,1777,12243,0.86898,0.86941
1998,No migration background,4th Quintile,Yes,0.11627,237,12243,0.11607,0.11646
1998,No migration background,4th Quintile,No,0.88373,1931,12243,0.88354,0.88393
1998,No migration background,5th Quintile,Yes,0.12048,227,12243,0.12029,0.12068
1998,No migration background,5th Quintile,No,0.87952,1784,12243,0.87932,0.87971
1998,Direct migration background,1st Quintile,Yes,0.15208,94,12243,0.15164,0.15251
1998,Direct migration background,1st Quintile,No,0.84792,636,12243,0.84749,0.84836
1998,Direct migration background,2nd Quintile,Yes,0.14515,81,12243,0.14461,0.14568
1998,Direct migration background,2nd Quintile,No,0.85485,484,12243,0.85432,0.85539
1998,Direct migration background,3rd Quintile,Yes,0.12301,49,12243,0.12248,0.12355
1998,Direct migration background,3rd Quintile,No,0.87699,344,12243,0.87645,0.87752
1998,Direct migration background,4th Quintile,Yes,0.12475,38,12243,0.12418,0.12532
1998,Direct migration background,4th Quintile,No,0.87525,281,12243,0.87468,0.87582
1998,Direct migration background,5th Quintile,No,1.00000,194,12243,1.00000,1.00000
1998,Indirect migration background,1st Quintile,No,1.00000,163,12243,1.00000,1.00000
1998,Indirect migration background,2nd Quintile,No,1.00000,126,12243,1.00000,1.00000
1998,Indirect migration background,3rd Quintile,No,1.00000,96,12243,1.00000,1.00000
1998,Indirect migration background,4th Quintile,No,1.00000,97,12243,1.00000,1.00000
1998,Indirect migration background,5th Quintile,No,1.00000,54,12243,1.00000,1.00000
1999,No migration background,1st Quintile,Yes,0.15743,252,13583,0.15720,0.15767
1999,No migration background,1st Quintile,No,0.84257,1457,13583,0.84233,0.84280
1999,No migration background,2nd Quintile,Yes,0.14333,289,13583,0.14311,0.14354
1999,No migration background,2nd Quintile,No,0.85667,1845,13583,0.85646,0.85689
1999,No migration background,3rd Quintile,Yes,0.13414,289,13583,0.13394,0.13434
1999,No migration background,3rd Quintile,No,0.86586,1999,13583,0.86566,0.86606
1999,No migration background,4th Quintile,Yes,0.12461,277,13583,0.12442,0.12479
1999,No migration background,4th Quintile,No,0.87539,2089,13583,0.87521,0.87558
1999,No migration background,5th Quintile,Yes,0.10388,233,13583,0.10371,0.10404
1999,No migration background,5th Quintile,No,0.89612,2123,13583,0.89596,0.89629
1999,Direct migration background,1st Quintile,Yes,0.14899,96,13583,0.14856,0.14942
1999,Direct migration background,1st Quintile,No,0.85101,596,13583,0.85058,0.85144
1999,Direct migration background,2nd Quintile,Yes,0.11117,68,13583,0.11074,0.11160
1999,Direct migration background,2nd Quintile,No,0.88883,531,13583,0.88840,0.88926
1999,Direct migration background,3rd Quintile,Yes,0.16247,60,13583,0.16191,0.16304
1999,Direct migration background,3rd Quintile,No,0.83753,346,13583,0.83696,0.83809
1999,Direct migration background,4th Quintile,Yes,0.11707,34,13583,0.11654,0.11760
1999,Direct migration background,4th Quintile,No,0.88293,269,13583,0.88240,0.88346
1999,Direct migration background,5th Quintile,No,1.00000,174,13583,1.00000,1.00000
1999,Indirect migration background,1st Quintile,No,1.00000,164,13583,1.00000,1.00000
1999,Indirect migration background,2nd Quintile,No,1.00000,125,13583,1.00000,1.00000
1999,Indirect migration background,3rd Quintile,No,1.00000,112,13583,1.00000,1.00000
1999,Indirect migration background,4th Quintile,No,1.00000,105,13583,1.00000,1.00000
1999,Indirect migration background,5th Quintile,No,1.00000,50,13583,1.00000,1.00000
2000,No migration background,1st Quintile,Yes,0.14064,221,13201,0.14033,0.14095
2000,No migration background,1st Quintile,No,0.85936,1481,13201,0.85905,0.85967
2000,No migration background,2nd Quintile,Yes,0.14018,277,13201,0.13989,0.14048
2000,No migration background,2nd Quintile,No,0.85982,1799,13201,0.85952,0.86011
2000,No migration background,3rd Quintile,Yes,0.13125,286,13201,0.13098,0.13152
2000,No migration background,3rd Quintile,No,0.86875,1970,13201,0.86848,0.86902
2000,No migration background,4th Quintile,Yes,0.11199,253,13201,0.11174,0.11224
2000,No migration background,4th Quintile,No,0.88801,2036,13201,0.88776,0.88826
2000,No migration background,5th Quintile,Yes,0.10676,237,13201,0.10652,0.10700
2000,No migration background,5th Quintile,No,0.89324,2022,13201,0.89300,0.89348
2000,Direct migration background,1st Quintile,Yes,0.12832,87,13201,0.12780,0.12883
2000,Direct migration background,1st Quintile,No,0.87168,620,13201,0.87117,0.87220
2000,Direct migration background,2nd Quintile,Yes,0.09371,50,13201,0.09318,0.09425
2000,Direct migration background,2nd Quintile,No,0.90629,480,13201,0.90575,0.90682
2000,Direct migration background,3rd Quintile,Yes,0.15147,49,13201,0.15067,0.15227
2000,Direct migration background,3rd Quintile,No,0.84853,291,13201,0.84773,0.84933
2000,Direct migration background,4th Quintile,Yes,0.11817,38,13201,0.11748,0.11886
2000,Direct migration background,4th Quintile,No,0.88183,273,13201,0.88114,0.88252
2000,Direct migration background,5th Quintile,No,1.00000,182,13201,1.00000,1.00000
2000,Indirect migration background,1st Quintile,No,1.00000,147,13201,1.00000,1.00000
2000,Indirect migration background,2nd Quintile,No,1.00000,141,13201,1.00000,1.00000
2000,Indirect migration background,3rd Quintile,No,1.00000,106,13201,1.00000,1.00000
2000,Indirect migration background,4th Quintile,No,1.00000,90,13201,1.00000,1.00000
