,Unnamed: 0,year,bula_h,sex,pli0098_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
295,295,1995,Saxony,male,Never,0.83277,400,12688,0.79339,0.8893
296,296,1995,Saxony,female,At least once per month,0.06114,31,12688,0.04991,0.06995
297,297,1995,Saxony,female,Seldom,0.19941,106,12688,0.17585,0.22212
298,298,1995,Saxony,female,Never,0.73944,416,12688,0.69954,0.78059
299,299,1995,Saxony-Anhalt,male,Seldom,0.11217,45,12688,0.09486,0.13026
300,300,1995,Saxony-Anhalt,male,Never,0.88783,255,12688,0.8203,0.95384
301,301,1995,Saxony-Anhalt,female,Seldom,0.11036,52,12688,0.09196,0.13126
302,302,1995,Saxony-Anhalt,female,Never,0.88964,282,12688,0.83678,0.96309
303,303,1995,Thuringa,male,Seldom,0.17844,64,12688,0.15632,0.205
304,304,1995,Thuringa,male,Never,0.82156,216,12688,0.75289,0.89551
305,305,1995,Thuringa,female,Seldom,0.23171,77,12688,0.19962,0.26527
306,306,1995,Thuringa,female,Never,0.76829,219,12688,0.70274,0.83883
307,307,1996,Schleswig-Holstein,male,Seldom,0.33497,38,12537,0.27896,0.41391
308,308,1996,Schleswig-Holstein,male,Never,0.66503,81,12537,0.57903,0.74292
309,309,1996,Schleswig-Holstein,female,Seldom,0.49812,60,12537,0.42197,0.56953
310,310,1996,Schleswig-Holstein,female,Never,0.50188,73,12537,0.44545,0.57043
311,311,1996,Hamburg,male,Never,1.0,37,12537,0.77701,1.24102
312,312,1996,Hamburg,female,Never,1.0,43,12537,0.81378,1.20229
313,313,1996,Lower Saxony,male,At least once per week,0.06058,40,12537,0.045,0.07861
314,314,1996,Lower Saxony,male,At least once per month,0.05403,31,12537,0.04338,0.06983
315,315,1996,Lower Saxony,male,Seldom,0.27781,126,12537,0.24625,0.31173
316,316,1996,Lower Saxony,male,Never,0.60758,311,12537,0.56775,0.65862
317,317,1996,Lower Saxony,female,At least once per week,0.07534,43,12537,0.06,0.09077
318,318,1996,Lower Saxony,female,At least once per month,0.08851,45,12537,0.07098,0.1086
