year,pgisced97,sampreg,pli0094_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2005,First Stage of Tertiary Education,East,At least once per week,0.0034340150391169756,95,20110,0.003419971896299171,0.00344805818193478
2005,First Stage of Tertiary Education,East,At least once per month,0.008199167844372312,193,20110,0.008177520366269222,0.008220815322475402
2005,First Stage of Tertiary Education,East,Seldom,0.004072798200495242,120,20110,0.004057509505043102,0.004088086895947382
2005,Second Stage of Tertiary Education,West,At least once per week,0.05735707051069795,1330,20110,0.057301252124716893,0.05741288889667901
2005,Second Stage of Tertiary Education,West,At least once per month,0.044050754047087984,1126,20110,0.04400149292758547,0.0441000151665905
2005,Second Stage of Tertiary Education,West,Seldom,0.01852949911704577,412,20110,0.018497126288155103,0.018561871945936437
2005,Second Stage of Tertiary Education,West,Never,0.0022054626816522065,36,20110,0.00219420158712185,0.002216723776182563
2005,Second Stage of Tertiary Education,East,At least once per week,0.010967592624584814,328,20110,0.010942590834590975,0.010992594414578654
2005,Second Stage of Tertiary Education,East,At least once per month,0.017932496638308263,562,20110,0.01790063990530258,0.017964353371313947
2005,Second Stage of Tertiary Education,East,Seldom,0.010786265838977745,343,20110,0.01076146931442422,0.010811062363531269
2007,Pre-primary Level,West,At least once per week,0.010257439166418284,232,19890,0.01023311075210835,0.010281767580728218
2007,Pre-primary Level,East,At least once per week,0.0021965451535360236,68,19890,0.0021852413194506483,0.002207848987621399
2007,Primary Level,West,At least once per week,0.00590365958307611,95,19890,0.005885162293469272,0.005922156872682949
2007,Primary Level,West,At least once per month,0.0030830255418071288,40,19890,0.0030696395282087006,0.003096411555405557
2007,Primary Level,West,Seldom,0.0030777742274112393,43,19890,0.003064399583637689,0.0030911488711847894
2007,Lower Secondary Level,West,At least once per week,0.05355564057462009,896,19890,0.05350128008523299,0.053610001064007186
2007,Lower Secondary Level,West,At least once per month,0.03435854986744472,550,19890,0.03431456952893085,0.0344025302059586
2007,Lower Secondary Level,West,Seldom,0.02032374311516951,309,19890,0.020289672784788274,0.020357813445550748
2007,Lower Secondary Level,West,Never,0.006659816986708022,102,19890,0.00664017825873312,0.006679455714682925
2007,Lower Secondary Level,East,At least once per week,0.006655507336498084,148,19890,0.006635874921195858,0.0066751397518003104
2007,Lower Secondary Level,East,At least once per month,0.0035880352643267075,77,19890,0.003573598129131405,0.00360247239952201
2007,Lower Secondary Level,East,Seldom,0.0042106062592010204,78,19890,0.004194971569399474,0.004226240949002567
2007,Upper Secondary Level,West,At least once per week,0.18002005794796527,3367,19890,0.1799272905728638,0.18011282532306674
2007,Upper Secondary Level,West,At least once per month,0.15589739975468384,2797,19890,0.155809810615142,0.15598498889422566
2007,Upper Secondary Level,West,Seldom,0.07808597789805041,1282,19890,0.07802119431830756,0.07815076147779326
2007,Upper Secondary Level,West,Never,0.012218143196691981,208,19890,0.012191617528487853,0.01224466886489611
2007,Upper Secondary Level,East,At least once per week,0.03387380755057121,809,19890,0.03383012759970446,0.033917487501437964
2007,Upper Secondary Level,East,At least once per month,0.04283371465977751,1067,19890,0.042784824689731715,0.04288260462982331
2007,Upper Secondary Level,East,Seldom,0.026341026736814644,640,19890,0.026302358622839108,0.02637969485079018
2007,Upper Secondary Level,East,Never,0.004496668055964063,99,19890,0.0044805133157437595,0.004512822796184366
2007,Post-secondary Non-tertiary Level,West,At least once per week,0.02771557341789236,507,19890,0.027675937236794325,0.027755209598990395
2007,Post-secondary Non-tertiary Level,West,At least once per month,0.019015103214536647,354,19890,0.01898212601977449,0.019048080409298805
2007,Post-secondary Non-tertiary Level,West,Seldom,0.007317940091791908,128,19890,0.007297360691411086,0.00733851949217273
2007,Post-secondary Non-tertiary Level,East,At least once per week,0.002724925296626761,72,19890,0.0027123384196406047,0.002737512173612917
2007,Post-secondary Non-tertiary Level,East,At least once per month,0.002061872757846165,60,19890,0.002050920190224313,0.0020728253254680166
2007,First Stage of Tertiary Education,West,At least once per week,0.023793311258063974,459,19890,0.02375651263761731,0.023830109878510638
2007,First Stage of Tertiary Education,West,At least once per month,0.022372823960703333,448,19890,0.022337114750846165,0.0224085331705605
2007,First Stage of Tertiary Education,West,Seldom,0.011865959425315566,202,19890,0.011839814189399531,0.011892104661231601
2007,First Stage of Tertiary Education,East,At least once per week,0.0042956774613590685,101,19890,0.004279886294087624,0.004311468628630513
2007,First Stage of Tertiary Education,East,At least once per month,0.008128103947294038,189,19890,0.008106424129788153,0.008149783764799922
2007,First Stage of Tertiary Education,East,Seldom,0.0034267133927770753,106,19890,0.0034126034024220013,0.0034408233831321492
2007,Second Stage of Tertiary Education,West,At least once per week,0.06478418576723707,1440,19890,0.06472475331794543,0.06484361821652872
2007,Second Stage of Tertiary Education,West,At least once per month,0.05101155957058164,1184,19890,0.050958434689982145,0.05106468445118114
2007,Second Stage of Tertiary Education,West,Seldom,0.0195259658238668,420,19890,0.01949255728239515,0.01955937436533845
2007,Second Stage of Tertiary Education,West,Never,0.002125829284229185,33,19890,0.0021147085032258432,0.0021369500652325267
2007,Second Stage of Tertiary Education,East,At least once per week,0.011592533987957433,323,19890,0.011566688162765501,0.011618379813149365
2007,Second Stage of Tertiary Education,East,At least once per month,0.020785556326452157,646,19890,0.020751109204944614,0.0208200034479597
2007,Second Stage of Tertiary Education,East,Seldom,0.009819226138732989,311,19890,0.009795417800656478,0.0098430344768095
2009,Pre-primary Level,West,At least once per week,0.01099663560241477,215,17435,0.01097144555416361,0.01102182565066593
2009,Pre-primary Level,West,At least once per month,0.002247284936279687,36,17435,0.002235847182918677,0.002258722689640697
2009,Pre-primary Level,East,At least once per week,0.0020838551554096573,41,17435,0.002072840244553896,0.0020948700662654185
2009,Primary Level,West,At least once per week,0.00499605609825659,69,17435,0.004979025643217979,0.005013086553295201
2009,Primary Level,West,At least once per month,0.0028631253523751328,32,17435,0.0028502191708940088,0.0028760315338562568
2009,Primary Level,West,Seldom,0.002723716989408028,31,17435,0.002711128056087995,0.0027363059227280607
2009,Lower Secondary Level,West,At least once per week,0.04925859626923889,722,17435,0.049206323872022784,0.049310868666454996
2009,Lower Secondary Level,West,At least once per month,0.0318422306952088,451,17435,0.031799820037499545,0.031884641352918054
2009,Lower Secondary Level,West,Seldom,0.01974306418034796,272,17435,0.019709461227815195,0.019776667132880725
2009,Lower Secondary Level,West,Never,0.005797860546406023,73,17435,0.005779521724743351,0.005816199368068695
2009,Lower Secondary Level,East,At least once per week,0.0056587604910818415,116,17435,0.0056406417265870675,0.0056768792555766156
2009,Lower Secondary Level,East,At least once per month,0.0030290603226885205,62,17435,0.003015786518440084,0.003042334126936957
2009,Lower Secondary Level,East,Seldom,0.0037013953046494373,69,17435,0.003686727075235349,0.0037160635340635255
2009,Upper Secondary Level,West,At least once per week,0.1755601379426836,2722,17435,0.1754682427811343,0.1756520331042329
2009,Upper Secondary Level,West,At least once per month,0.1599624279721509,2559,17435,0.15987388409251332,0.1600509718517885
2009,Upper Secondary Level,West,Seldom,0.08044139139201585,1200,17435,0.0803756967890728,0.0805070859949589
2009,Upper Secondary Level,West,Never,0.009662576433307136,142,17435,0.00963894781839439,0.009686205048219881
