"plh0038","year","bula_h","sampreg","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Keine Sorgen","1985","Nordrhein-Westfalen","Westdeutschland","351","0.1068011501491","0.095588949686641","0.118013350611559"
"Keine Sorgen","1985","Nordrhein-Westfalen","Ostdeutschland","","","",""
"Keine Sorgen","1985","Hessen","Westdeutschland","135","0.106912866374608","0.0888643794665954","0.124961353282621"
"Keine Sorgen","1985","Hessen","Ostdeutschland","","","",""
"Keine Sorgen","1985","Rheinland-Pfalz,Saarland","Westdeutschland","67","0.0822736110682051","0.0627379467358824","0.101809275400528"
"Keine Sorgen","1985","Rheinland-Pfalz,Saarland","Ostdeutschland","","","",""
"Keine Sorgen","1985","Baden-Wuerttemberg","Westdeutschland","314","0.132096149366096","0.117348715276729","0.146843583455464"
"Keine Sorgen","1985","Baden-Wuerttemberg","Ostdeutschland","","","",""
"Keine Sorgen","1985","Bayern","Westdeutschland","177","0.0877053836398747","0.0748813655306887","0.100529401749061"
"Keine Sorgen","1985","Bayern","Ostdeutschland","","","",""
"Keine Sorgen","1985","Saarland","Westdeutschland","","","",""
"Keine Sorgen","1985","Saarland","Ostdeutschland","","","",""
"Keine Sorgen","1985","Berlin","Westdeutschland","37","0.111205213164491","0.0789525945159375","0.143457831813044"
"Keine Sorgen","1985","Berlin","Ostdeutschland","","","",""
"Keine Sorgen","1985","Brandenburg","Westdeutschland","","","",""
"Keine Sorgen","1985","Brandenburg","Ostdeutschland","","","",""
"Keine Sorgen","1985","Mecklenburg-Vorpommern","Westdeutschland","","","",""
"Keine Sorgen","1985","Mecklenburg-Vorpommern","Ostdeutschland","","","",""
"Keine Sorgen","1985","Sachsen","Westdeutschland","","","",""
"Keine Sorgen","1985","Sachsen","Ostdeutschland","","","",""
"Keine Sorgen","1985","Sachsen-Anhalt","Westdeutschland","","","",""
"Keine Sorgen","1985","Sachsen-Anhalt","Ostdeutschland","","","",""
"Keine Sorgen","1985","Thueringen","Westdeutschland","","","",""
"Keine Sorgen","1985","Thueringen","Ostdeutschland","","","",""
"Grosse Sorgen","1986","Schleswig-Holstein","Westdeutschland","115","0.394003394336613","0.340465883008944","0.447540905664281"
"Grosse Sorgen","1986","Schleswig-Holstein","Ostdeutschland","","","",""
"Grosse Sorgen","1986","Hamburg","Westdeutschland","126","0.473515245824265","0.412352356754612","0.534678134893917"
"Grosse Sorgen","1986","Hamburg","Ostdeutschland","","","",""
"Grosse Sorgen","1986","Niedersachsen","Westdeutschland","493","0.439971797009796","0.410651268115989","0.469292325903604"
"Grosse Sorgen","1986","Niedersachsen","Ostdeutschland","","","",""
"Grosse Sorgen","1986","Bremen","Westdeutschland","65","0.565143296228382","0.471212375989864","0.659074216466899"
"Grosse Sorgen","1986","Bremen","Ostdeutschland","","","",""
"Grosse Sorgen","1986","Nordrhein-Westfalen","Westdeutschland","1307","0.4651491605975","0.446765971688631","0.483532349506369"
"Grosse Sorgen","1986","Nordrhein-Westfalen","Ostdeutschland","","","",""
"Grosse Sorgen","1986","Hessen","Westdeutschland","494","0.457492827294195","0.427287410499329","0.487698244089062"
"Grosse Sorgen","1986","Hessen","Ostdeutschland","","","",""
"Grosse Sorgen","1986","Rheinland-Pfalz,Saarland","Westdeutschland","352","0.46765857465975","0.432278316776787","0.503038832542712"
"Grosse Sorgen","1986","Rheinland-Pfalz,Saarland","Ostdeutschland","","","",""
"Grosse Sorgen","1986","Baden-Wuerttemberg","Westdeutschland","845","0.430929432006925","0.4090784635941","0.45278040041975"
