year,bula_h,pgisced97,plb0037_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1992,North Rhine-Westphalia,Lower Secondary Level,Permanent job,1.0,35,767,1.0,1.0
1992,North Rhine-Westphalia,Upper Secondary Level,Permanent job,1.0,85,767,1.0,1.0
1992,Hesse,Upper Secondary Level,Permanent job,1.0,34,767,1.0,1.0
1992,Baden-Wuerttemberg,Upper Secondary Level,Permanent job,1.0,70,767,1.0,1.0
1992,Bavaria,Lower Secondary Level,Permanent job,1.0,32,767,1.0,1.0
1992,Bavaria,Upper Secondary Level,Permanent job,1.0,70,767,1.0,1.0
1992,Berlin,Upper Secondary Level,Permanent job,1.0,32,767,1.0,1.0
1992,Brandenburg,Upper Secondary Level,Permanent job,1.0,46,767,1.0,1.0
1992,Brandenburg,Second Stage of Tertiary Education,Permanent job,1.0,32,767,1.0,1.0
1992,Mecklenburg-Western Pomerania,Upper Secondary Level,Permanent job,1.0,31,767,1.0,1.0
1992,Saxony,Upper Secondary Level,Permanent job,0.6744863792799789,82,767,0.6729588116310354,0.6760139469289224
1992,Saxony,Upper Secondary Level,Temporary job,0.325513620720021,34,767,0.3239860530710775,0.3270411883689645
1992,Saxony-Anhalt,Upper Secondary Level,Permanent job,1.0,54,767,1.0,1.0
1992,Saxony-Anhalt,Second Stage of Tertiary Education,Permanent job,1.0,35,767,1.0,1.0
1992,Thuringa,Upper Secondary Level,Permanent job,1.0,63,767,1.0,1.0
1993,Lower Saxony,Upper Secondary Level,Permanent job,1.0,36,504,1.0,1.0
1993,North Rhine-Westphalia,Upper Secondary Level,Permanent job,1.0,86,504,1.0,1.0
1993,Baden-Wuerttemberg,Lower Secondary Level,Permanent job,1.0,32,504,1.0,1.0
1993,Baden-Wuerttemberg,Upper Secondary Level,Permanent job,1.0,58,504,1.0,1.0
1993,Bavaria,Upper Secondary Level,Permanent job,1.0,62,504,1.0,1.0
1993,Brandenburg,Upper Secondary Level,Permanent job,1.0,32,504,1.0,1.0
1993,Saxony,Upper Secondary Level,Permanent job,1.0,60,504,1.0,1.0
1993,Saxony,Second Stage of Tertiary Education,Permanent job,1.0,42,504,1.0,1.0
1993,Saxony-Anhalt,Upper Secondary Level,Permanent job,1.0,42,504,1.0,1.0
1993,Thuringa,Upper Secondary Level,Permanent job,1.0,54,504,1.0,1.0
1994,North Rhine-Westphalia,Upper Secondary Level,Permanent job,0.6509110756513742,65,319,0.6496290573684645,0.6521930939342838
1994,North Rhine-Westphalia,Upper Secondary Level,Temporary job,0.34908892434862565,33,319,0.34780690606571607,0.35037094263153523
1994,Baden-Wuerttemberg,Upper Secondary Level,Permanent job,1.0,61,319,1.0,1.0
1994,Bavaria,Upper Secondary Level,Permanent job,1.0,49,319,1.0,1.0
1994,Brandenburg,Upper Secondary Level,Permanent job,1.0,32,319,1.0,1.0
1994,Saxony,Upper Secondary Level,Permanent job,1.0,43,319,1.0,1.0
1994,Thuringa,Upper Secondary Level,Permanent job,1.0,36,319,1.0,1.0
1995,Schleswig-Holstein,Upper Secondary Level,Permanent job,1.0,78,5961,1.0,1.0
1995,Hamburg,Upper Secondary Level,Permanent job,1.0,35,5961,1.0,1.0
1995,Lower Saxony,Lower Secondary Level,Permanent job,1.0,70,5961,1.0,1.0
1995,Lower Saxony,Upper Secondary Level,Permanent job,1.0,265,5961,1.0,1.0
1995,Lower Saxony,First Stage of Tertiary Education,Permanent job,1.0,40,5961,1.0,1.0
1995,Lower Saxony,Second Stage of Tertiary Education,Permanent job,1.0,64,5961,1.0,1.0
1995,North Rhine-Westphalia,Primary Level,Permanent job,1.0,54,5961,1.0,1.0
1995,North Rhine-Westphalia,Lower Secondary Level,Permanent job,0.7805913177448685,192,5961,0.7797534477213688,0.7814291877683681
1995,North Rhine-Westphalia,Lower Secondary Level,Temporary job,0.21940868225513158,42,5961,0.21857081223163188,0.22024655227863127
1995,North Rhine-Westphalia,Upper Secondary Level,Permanent job,0.9378275879485309,651,5961,0.9375862629976387,0.9380689128994232
1995,North Rhine-Westphalia,Upper Secondary Level,Temporary job,0.062172412051469124,51,5961,0.061931087100576925,0.06241373700236132
1995,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Permanent job,1.0,61,5961,1.0,1.0
1995,North Rhine-Westphalia,First Stage of Tertiary Education,Permanent job,1.0,90,5961,1.0,1.0
1995,North Rhine-Westphalia,Second Stage of Tertiary Education,Permanent job,0.855912527582035,167,5961,0.8552905492734496,0.8565345058906203
1995,North Rhine-Westphalia,Second Stage of Tertiary Education,Temporary job,0.14408747241796513,31,5961,0.1434654941093798,0.14470945072655045
1995,Hesse,Lower Secondary Level,Permanent job,1.0,83,5961,1.0,1.0
1995,Hesse,Upper Secondary Level,Permanent job,1.0,234,5961,1.0,1.0
1995,Hesse,Second Stage of Tertiary Education,Permanent job,1.0,65,5961,1.0,1.0
1995,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Permanent job,1.0,61,5961,1.0,1.0
