year,quintil_oecd_hh,regtyp,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
2011,2nd Quintile,Rural regions,900,2.95265,2.86189,3.04340,2.00000,3.00000,4.00000,1.00000,7.00000,3.00000,2.00000,3.00000
2011,3rd Quintile,Urban regions,1439,3.50371,3.42837,3.57906,2.00000,3.00000,5.00000,1.00000,7.00000,3.00000,3.00000,4.00000
2011,3rd Quintile,Rural regions,920,3.43451,3.34156,3.52746,2.00000,3.00000,4.00000,1.00000,7.00000,3.00000,3.00000,3.00000
2011,4th Quintile,Urban regions,1625,3.86654,3.79378,3.93930,3.00000,4.00000,5.00000,1.00000,7.00000,4.00000,4.00000,4.00000
2011,4th Quintile,Rural regions,797,3.71813,3.61476,3.82149,2.00000,4.00000,5.00000,1.00000,7.00000,4.00000,3.00000,4.00000
2011,5th Quintile,Urban regions,2053,4.59662,4.52905,4.66418,4.00000,5.00000,6.00000,1.00000,7.00000,5.00000,5.00000,5.00000
2011,5th Quintile,Rural regions,708,4.43948,4.32455,4.55441,3.00000,5.00000,6.00000,1.00000,7.00000,5.00000,4.00000,5.00000
2012,1st Quintile,Urban regions,,,,,,,,,,,,
2012,1st Quintile,Rural regions,,,,,,,,,,,,
2012,2nd Quintile,Urban regions,,,,,,,,,,,,
2012,2nd Quintile,Rural regions,,,,,,,,,,,,
2012,3rd Quintile,Urban regions,,,,,,,,,,,,
2012,3rd Quintile,Rural regions,,,,,,,,,,,,
2012,4th Quintile,Urban regions,,,,,,,,,,,,
2012,4th Quintile,Rural regions,,,,,,,,,,,,
2012,5th Quintile,Urban regions,,,,,,,,,,,,
2012,5th Quintile,Rural regions,,,,,,,,,,,,
2013,1st Quintile,Urban regions,,,,,,,,,,,,
2013,1st Quintile,Rural regions,,,,,,,,,,,,
2013,2nd Quintile,Urban regions,,,,,,,,,,,,
2013,2nd Quintile,Rural regions,,,,,,,,,,,,
2013,3rd Quintile,Urban regions,,,,,,,,,,,,
2013,3rd Quintile,Rural regions,,,,,,,,,,,,
2013,4th Quintile,Urban regions,,,,,,,,,,,,
2013,4th Quintile,Rural regions,,,,,,,,,,,,
2013,5th Quintile,Urban regions,,,,,,,,,,,,
2013,5th Quintile,Rural regions,,,,,,,,,,,,
2014,1st Quintile,Urban regions,,,,,,,,,,,,
2014,1st Quintile,Rural regions,,,,,,,,,,,,
2014,2nd Quintile,Urban regions,,,,,,,,,,,,
2014,2nd Quintile,Rural regions,,,,,,,,,,,,
2014,3rd Quintile,Urban regions,,,,,,,,,,,,
2014,3rd Quintile,Rural regions,,,,,,,,,,,,
2014,4th Quintile,Urban regions,,,,,,,,,,,,
2014,4th Quintile,Rural regions,,,,,,,,,,,,
2014,5th Quintile,Urban regions,,,,,,,,,,,,
2014,5th Quintile,Rural regions,,,,,,,,,,,,
2015,1st Quintile,Urban regions,,,,,,,,,,,,
2015,1st Quintile,Rural regions,,,,,,,,,,,,
2015,2nd Quintile,Urban regions,,,,,,,,,,,,
2015,2nd Quintile,Rural regions,,,,,,,,,,,,
2015,3rd Quintile,Urban regions,,,,,,,,,,,,
2015,3rd Quintile,Rural regions,,,,,,,,,,,,
2015,4th Quintile,Urban regions,,,,,,,,,,,,
2015,4th Quintile,Rural regions,,,,,,,,,,,,
2015,5th Quintile,Urban regions,,,,,,,,,,,,
2015,5th Quintile,Rural regions,,,,,,,,,,,,
2016,1st Quintile,Urban regions,1978,2.70860,2.64720,2.77001,2.00000,2.00000,4.00000,1.00000,7.00000,2.00000,2.00000,2.00000
2016,1st Quintile,Rural regions,1105,2.52354,2.44276,2.60433,2.00000,2.00000,3.00000,1.00000,4.50000,2.00000,2.00000,2.00000
2016,2nd Quintile,Urban regions,1844,3.12106,3.05313,3.18899,2.00000,3.00000,4.00000,1.00000,7.00000,3.00000,3.00000,3.00000
2016,2nd Quintile,Rural regions,1190,2.93551,2.85622,3.01481,2.00000,3.00000,4.00000,1.00000,7.00000,3.00000,2.00000,3.00000
2016,3rd Quintile,Urban regions,1722,3.47418,3.40411,3.54425,2.00000,3.00000,5.00000,1.00000,7.00000,3.00000,3.00000,4.00000
2016,3rd Quintile,Rural regions,1018,3.35977,3.26932,3.45022,2.00000,3.00000,4.00000,1.00000,7.00000,3.00000,3.00000,3.00000
