"ple0053","year","bildungsniveau","sex","n","percent","lower_confidence","upper_confidence"
"Ja","2005","(Fach-)Abitur","maennlich","74","0.0715677824429347","0.0557796051637494","0.0873559597221199"
"Ja","2005","(Fach-)Abitur","weiblich","123","0.10843983537739","0.0913052901995606","0.12557438055522"
"Ja","2005","AkademikerIn","maennlich","236","0.0974554190450474","0.0853375261456528","0.109573311944442"
"Ja","2005","AkademikerIn","weiblich","209","0.120077848146623","0.105277771818324","0.134877924474922"
"Nein","2005","(noch) kein Abschluss","maennlich","395","0.92922150379805","0.904665857400321","0.95377715019578"
"Nein","2005","(noch) kein Abschluss","weiblich","446","0.913846368601721","0.88879693208075","0.938895805122693"
"Nein","2005","Hauptschule","maennlich","3216","0.876968216768413","0.866314937966098","0.887621495570728"
"Nein","2005","Hauptschule","weiblich","3349","0.853612893234501","0.842515804202395","0.864709982266606"
"Nein","2005","Realschule","maennlich","2078","0.904528511480304","0.892471539594076","0.916585483366532"
"Nein","2005","Realschule","weiblich","2712","0.870592535183816","0.858732895981584","0.882452174386049"
"Nein","2005","(Fach-)Abitur","maennlich","950","0.928432217557065","0.91264404027788","0.944220394836251"
"Nein","2005","(Fach-)Abitur","weiblich","1142","0.89156016462261","0.87442561944478","0.908694709800439"
"Nein","2005","AkademikerIn","maennlich","2065","0.902544580954952","0.890426688055558","0.914662473854347"
"Nein","2005","AkademikerIn","weiblich","1644","0.879922151853377","0.865122075525078","0.894722228181676"
"Ja","2006","(noch) kein Abschluss","maennlich","24","","",""
"Ja","2006","(noch) kein Abschluss","weiblich","33","0.113815598683313","0.080254836606219","0.147376360760408"
"Ja","2006","Hauptschule","maennlich","499","0.134440220116174","0.123743773531954","0.145136666700394"
"Ja","2006","Hauptschule","weiblich","642","0.161528550388172","0.150381360531991","0.172675740244352"
"Ja","2006","Realschule","maennlich","215","0.0897274748587969","0.0783245077853643","0.10113044193223"
"Ja","2006","Realschule","weiblich","373","0.122234290673271","0.111103973910697","0.133364607435844"
"Ja","2006","(Fach-)Abitur","maennlich","87","0.0871344617283591","0.0701801626000167","0.104088760856702"
"Ja","2006","(Fach-)Abitur","weiblich","167","0.122095157967927","0.104859041556824","0.139331274379031"
"Ja","2006","AkademikerIn","maennlich","255","0.102080114482128","0.0903200890647034","0.113840139899553"
"Ja","2006","AkademikerIn","weiblich","222","0.105826304537806","0.0924282007555847","0.119224408320027"
"Nein","2006","(noch) kein Abschluss","maennlich","281","0.870413800645969","0.832722560100809","0.908105041191128"
