year,quintil_oecd,sex,plb0240,proportion,n,proportion_lower_confidence,proportion_upper_confidence
2006,4th Quintile,male,I'm not sure yet,0.06622516556291391,27321,0.06327639905801206,0.06917393206781576
2006,4th Quintile,female,Part-time,0.48,27321,0.4740757951655239,0.48592420483447607
2006,4th Quintile,female,Full-time,0.296,27321,0.2905869758982895,0.30141302410171045
2006,4th Quintile,female,Either,0.144,27321,0.1398368131405069,0.1481631868594931
2006,4th Quintile,female,I'm not sure yet,0.08,27321,0.07678303242968632,0.08321696757031369
2006,5th Quintile,male,Full-time,0.6896551724137931,27321,0.6841692958635889,0.6951410489639974
2006,5th Quintile,male,Part-time,0.11494252873563218,27321,0.1111604210883972,0.11872463638286716
2006,5th Quintile,male,I'm not sure yet,0.10344827586206896,27321,0.09983702981758949,0.10705952190654844
2006,5th Quintile,male,Either,0.09195402298850575,27321,0.08852755197492258,0.09538049400208891
2006,5th Quintile,female,Part-time,0.452755905511811,27321,0.44685348184328855,0.45865832918033345
2006,5th Quintile,female,Full-time,0.3228346456692913,27321,0.3172903649847715,0.32837892635381116
2006,5th Quintile,female,Either,0.1377952755905512,27321,0.13370803560239009,0.1418825155787123
2006,5th Quintile,female,I'm not sure yet,0.08661417322834646,27321,0.08327891555551631,0.0899494309011766
2007,1st Quintile,male,Full-time,0.6396648044692738,25385,0.6337587553147935,0.645570853623754
2007,1st Quintile,male,Either,0.2346368715083799,25385,0.22942373154285767,0.2398500114739021
2007,1st Quintile,male,Part-time,0.06983240223463687,25385,0.06669712043101557,0.07296768403825817
2007,1st Quintile,male,I'm not sure yet,0.055865921787709494,25385,0.05304066576880886,0.05869117780661013
2007,1st Quintile,female,Full-time,0.32051282051282054,25385,0.3147719093835654,0.32625373164207566
2007,1st Quintile,female,Part-time,0.315018315018315,25385,0.30930385933096266,0.32073277070566736
2007,1st Quintile,female,Either,0.3021978021978022,25385,0.29654870165058556,0.3078469027450188
2007,1st Quintile,female,I'm not sure yet,0.06227106227106227,25385,0.05929837458733144,0.06524374995479311
2007,2nd Quintile,male,Full-time,0.7085714285714285,25385,0.7029812540119645,0.7141616031308925
2007,2nd Quintile,male,Either,0.15428571428571428,25385,0.14984204040683258,0.15872938816459597
2007,2nd Quintile,male,Part-time,0.09714285714285714,25385,0.09349966192701478,0.1007860523586995
2007,2nd Quintile,male,I'm not sure yet,0.04,25385,0.03758935588641794,0.042410644113582065
2007,2nd Quintile,female,Part-time,0.4221556886227545,25385,0.4160798080121555,0.4282315692333535
2007,2nd Quintile,female,Full-time,0.30538922155688625,25385,0.2997233712130977,0.3110550719006748
2007,2nd Quintile,female,Either,0.2155688622754491,25385,0.21051017404373615,0.22062755050716207
2007,2nd Quintile,female,I'm not sure yet,0.05688622754491018,25385,0.054036829657020995,0.05973562543279936
2007,3rd Quintile,male,Full-time,0.6296296296296297,25385,0.6236890587225762,0.6355702005366831
2007,3rd Quintile,male,Either,0.18518518518518517,25385,0.18040659192849512,0.18996377844187523
