"plb0196_h","year","bildungsniveau","sex","n","percent","lower_confidence","upper_confidence"
"Ja","2006","(noch) kein Abschluss","weiblich","","","",""
"Ja","2006","Hauptschule","maennlich","821","0.689830504463287","0.663359536383252","0.716301472543322"
"Ja","2006","Hauptschule","weiblich","399","0.627536584847767","0.589694447637756","0.665378722057778"
"Ja","2006","Realschule","maennlich","901","0.718378853888308","0.693242346387097","0.743515361389518"
"Ja","2006","Realschule","weiblich","927","0.719155537348416","0.6948005131102","0.743510561586631"
"Ja","2006","(Fach-)Abitur","maennlich","323","0.734833237248705","0.693303692972954","0.776362781524455"
"Ja","2006","(Fach-)Abitur","weiblich","362","0.694867113300713","0.654786025559865","0.734948201041561"
"Ja","2006","AkademikerIn","maennlich","939","0.820083852734081","0.79762802142973","0.842539684038432"
"Ja","2006","AkademikerIn","weiblich","676","0.757579862106223","0.729720914455912","0.785438809756535"
"Nein","2006","(noch) kein Abschluss","maennlich","","","",""
"Nein","2006","(noch) kein Abschluss","weiblich","","","",""
"Nein","2006","Hauptschule","maennlich","352","0.310169495536713","0.283698527456678","0.336640463616748"
"Nein","2006","Hauptschule","weiblich","228","0.372463415152233","0.334621277942223","0.410305552362244"
"Nein","2006","Realschule","maennlich","329","0.281621146111692","0.256484638610482","0.306757653612903"
"Nein","2006","Realschule","weiblich","381","0.280844462651584","0.256489438413369","0.3051994868898"
"Nein","2006","(Fach-)Abitur","maennlich","111","0.265166762751295","0.223637218475545","0.306696307027045"
"Nein","2006","(Fach-)Abitur","weiblich","145","0.305132886699287","0.265051798958439","0.345213974440135"
"Nein","2006","AkademikerIn","maennlich","185","0.179916147265919","0.157460315961568","0.20237197857027"
"Nein","2006","AkademikerIn","weiblich","233","0.242420137893777","0.214561190243465","0.270279085544088"
"Ja","2007","(noch) kein Abschluss","maennlich","","","",""
"Ja","2007","(noch) kein Abschluss","weiblich","","","",""
"Ja","2007","Hauptschule","maennlich","774","0.724229062481829","0.697414043830687","0.751044081132971"
"Ja","2007","Hauptschule","weiblich","358","0.655255235765492","0.615352384503368","0.695158087027617"
"Ja","2007","Realschule","maennlich","896","0.751959902885319","0.727463392863472","0.776456412907166"
"Ja","2007","Realschule","weiblich","843","0.721147289560586","0.69550666612446","0.746787912996713"
