year,age_gr,pgisced97,pli0080,proportion,n,lower_confidence,upper_confidence
1998,46-65 J.,inadequately,Nie,0.0003749531308586427,18147,9.327008470966664e-05,0.0006566361770076188
1998,18-29 J.,general elemantary,Nie,0.00029996250468691414,18147,4.8008078845652275e-05,0.000551916930528176
1998,66 und älter,higher vocational,Taeglich,0.0002249718785151856,18147,6.764761402016826e-06,0.00044317899562835436
1998,30-45 J.,inadequately,Nie,0.00014998125234345707,18147,-2.8190794457624808e-05,0.000328153299144539
1998,66 und älter,higher education,Nie,0.00014998125234345707,18147,-2.8190794457624808e-05,0.000328153299144539
1998,30-45 J.,higher vocational,Nie,0.00014998125234345707,18147,-2.8190794457624808e-05,0.000328153299144539
1998,66 und älter,inadequately,Nie,7.499062617172853e-05,18147,-5.1000760868577513e-05,0.0002009820132120346
1998,18-29 J.,higher education,Nie,7.499062617172853e-05,18147,-5.1000760868577513e-05,0.0002009820132120346
1998,66 und älter,vocational + Abi,Taeglich,7.499062617172853e-05,18147,-5.1000760868577513e-05,0.0002009820132120346
1998,30-45 J.,vocational + Abi,Nie,7.499062617172853e-05,18147,-5.1000760868577513e-05,0.0002009820132120346
1998,46-65 J.,vocational + Abi,Nie,7.499062617172853e-05,18147,-5.1000760868577513e-05,0.0002009820132120346
1998,46-65 J.,in school,Min 1x pro Monat,7.499062617172853e-05,18147,-5.1000760868577513e-05,0.0002009820132120346
1998,18-29 J.,in school,Nie,7.499062617172853e-05,18147,-5.1000760868577513e-05,0.0002009820132120346
1998,46-65 J.,in school,Min 1x pro Woche,7.499062617172853e-05,18147,-5.1000760868577513e-05,0.0002009820132120346
2003,30-45 J.,middle vocational,Min 1x pro Woche,0.07240913955977477,27727,0.06935857968176402,0.07545969943778551
2003,46-65 J.,middle vocational,Min 1x pro Monat,0.06682488715156591,27727,0.06388550995165215,0.06976426435147967
2003,30-45 J.,middle vocational,Min 1x pro Monat,0.05840197310251757,27727,0.05564170567857177,0.061162240526463366
2003,46-65 J.,middle vocational,Min 1x pro Woche,0.05560984689841314,27727,0.052912379497353806,0.058307314299472474
2003,18-29 J.,middle vocational,Min 1x pro Woche,0.04974638186979385,27727,0.04718717645625589,0.0523055872833318
2003,46-65 J.,middle vocational,Seltener,0.04890874400856252,27727,0.04637005805733128,0.05144742995979377
2003,46-65 J.,higher education,Min 1x pro Monat,0.03978779840848806,27727,0.037487081444340285,0.04208851537263584
2003,30-45 J.,higher education,Min 1x pro Woche,0.03285401833496207,27727,0.030755827944812943,0.0349522087251112
2003,46-65 J.,higher education,Min 1x pro Woche,0.031923309600260595,27727,0.029854057204663338,0.03399256199585785
2003,66 und älter,middle vocational,Min 1x pro Woche,0.029643073200241985,27727,0.02764674473851651,0.031639401661967465
2003,30-45 J.,middle vocational,Seltener,0.029363860579831542,27727,0.027376670385730106,0.03135105077393298
2003,30-45 J.,higher education,Min 1x pro Monat,0.028665829028805434,27727,0.026701694561277946,0.030629963496332922
2003,66 und älter,middle vocational,Min 1x pro Monat,0.02671134068593234,27727,0.024813440777144306,0.02860924059472037
2003,66 und älter,middle vocational,Seltener,0.021964726138954813,27727,0.020239504941088057,0.02368994733682157
2003,18-29 J.,general elemantary,Min 1x pro Woche,0.019126064498115315,27727,0.017513845497047695,0.020738283499182934
2003,46-65 J.,higher education,Seltener,0.018846851877704872,27727,0.017246216396501864,0.02044748735890788
2003,18-29 J.,middle vocational,Min 1x pro Monat,0.01498441062869375,27727,0.013554377775262041,0.01641444348212546
2003,30-45 J.,higher vocational,Min 1x pro Woche,0.013681418400111686,27727,0.012314071218104608,0.015048765582118763
2003,66 und älter,general elemantary,Min 1x pro Woche,0.013448741216436317,27727,0.012092911101106251,0.014804571331766382
2003,30-45 J.,vocational + Abi,Min 1x pro Woche,0.012797245102145284,27727,0.011474226186633792,0.014120264017656776
