"year","hhtyp","regtyp","mean","median","n","lower_confidence","upper_confidence"
"2019","Sonstige","Staedtischer Raum","1590.43","1483.33","1243","1541.24","1639.62"
"2020","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","2086.61","1961","3561","1948.84","2224.38"
"2020","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","2531.92","2265","6832","2450.36","2613.48"
"2020","1-Pers.- Haushalt","Laendlicher Raum","1784.71","1635","1515","1708.02","1861.4"
"2020","1-Pers.- Haushalt","Staedtischer Raum","1923.69","1699.5","3915","1872.2","1975.18"
"2020","Alleinerziehende","Laendlicher Raum","1475.74","1324.56","1318","1420.69","1530.79"
"2020","Alleinerziehende","Staedtischer Raum","1508.92","1428.29","2969","1477.74","1540.1"
"2020","Paar mit Kind(ern)","Laendlicher Raum","1906","1750","8585","1883.14","1928.86"
"2020","Paar mit Kind(ern)","Staedtischer Raum","2084.91","1901.43","18900","2043.29","2126.53"
"2020","Sonstige","Laendlicher Raum","1721.16","1633.33","684","1657.75","1784.57"
"2020","Sonstige","Staedtischer Raum","1683.04","1465.04","1652","1630.9","1735.18"
