year,bula_h,regtyp,hlf0186,proportion,n,N,proportion_lower_confidence,proportion_lower_confidence,proportion_upper_confidence,proportion_upper_confidence
2011,"Rhineland-Palatinate, Saarland",Urban regions,No,0.34773,178,11892,0,0.30368,0,0.40221
2011,"Rhineland-Palatinate, Saarland",Rural regions,Yes,0.76551,142,11892,0,0.66705,0,0.87147
2011,"Rhineland-Palatinate, Saarland",Rural regions,No,0.23449,41,11892,0,0.17849,0,0.28474
2011,Baden-Wuerttemberg,Urban regions,Yes,0.76746,954,11892,0,0.72825,0,0.81217
2011,Baden-Wuerttemberg,Urban regions,No,0.23254,295,11892,0,0.21056,0,0.25531
2011,Baden-Wuerttemberg,Rural regions,Yes,0.73054,108,11892,0,0.61676,0,0.86590
2011,Baden-Wuerttemberg,Rural regions,No,0.26946,37,11892,0,0.18645,0,0.37670
2011,Bavaria,Urban regions,Yes,0.77692,704,11892,0,0.72482,0,0.82586
2011,Bavaria,Urban regions,No,0.22308,180,11892,0,0.19087,0,0.25161
2011,Bavaria,Rural regions,Yes,0.73382,712,11892,0,0.68671,0,0.78180
2011,Bavaria,Rural regions,No,0.26618,231,11892,0,0.23088,0,0.29847
2011,Berlin,Urban regions,Yes,0.59251,318,11892,0,0.55051,0,0.65064
2011,Berlin,Urban regions,No,0.40749,189,11892,0,0.36479,0,0.45469
2011,Brandenburg,Urban regions,Yes,1.00000,32,11892,0,0.76727,0,1.25779
2011,Brandenburg,Rural regions,Yes,0.67718,328,11892,0,0.60593,0,0.75369
2011,Brandenburg,Rural regions,No,0.32282,142,11892,0,0.28200,0,0.37305
2011,Mecklenburg-Western Pomerania,Rural regions,Yes,0.62623,179,11892,0,0.55730,0,0.70303
2011,Mecklenburg-Western Pomerania,Rural regions,No,0.37377,103,11892,0,0.31748,0,0.45906
2011,Saxony,Urban regions,Yes,0.71063,311,11892,0,0.64849,0,0.77286
2011,Saxony,Urban regions,No,0.28937,113,11892,0,0.24753,0,0.33376
2011,Saxony,Rural regions,Yes,0.71543,273,11892,0,0.63711,0,0.78538
2011,Saxony,Rural regions,No,0.28457,105,11892,0,0.23797,0,0.33765
2011,Saxony-Anhalt,Urban regions,Yes,0.72830,97,11892,0,0.60548,0,0.85332
2011,Saxony-Anhalt,Urban regions,No,0.27170,33,11892,0,0.18755,0,0.39467
2011,Saxony-Anhalt,Rural regions,Yes,0.63902,244,11892,0,0.57812,0,0.71866
2011,Saxony-Anhalt,Rural regions,No,0.36098,135,11892,0,0.30953,0,0.42409
2011,Thuringa,Urban regions,Yes,0.68585,107,11892,0,0.55095,0,0.82358
2011,Thuringa,Urban regions,No,0.31415,62,11892,0,0.24045,0,0.40416
2011,Thuringa,Rural regions,Yes,0.68082,245,11892,0,0.60642,0,0.75133
2011,Thuringa,Rural regions,No,0.31918,104,11892,0,0.26503,0,0.37237
2013,Schleswig-Holstein,Urban regions,Yes,0.69985,88,13796,0,0.57550,0,0.83023
2013,Schleswig-Holstein,Urban regions,No,0.30015,57,13796,0,0.21079,0,0.39496
2013,Schleswig-Holstein,Rural regions,Yes,0.68684,209,13796,0,0.60817,0,0.76062
2013,Schleswig-Holstein,Rural regions,No,0.31316,114,13796,0,0.26522,0,0.37737
2013,Hamburg,Urban regions,Yes,0.67341,179,13796,0,0.57767,0,0.77128
2013,Hamburg,Urban regions,No,0.32659,91,13796,0,0.25843,0,0.39374
2013,Lower Saxony,Urban regions,Yes,0.76157,392,13796,0,0.70303,0,0.83312
2013,Lower Saxony,Urban regions,No,0.23843,160,13796,0,0.19520,0,0.27922
2013,Lower Saxony,Rural regions,Yes,0.70369,478,13796,0,0.65480,0,0.75900
2013,Lower Saxony,Rural regions,No,0.29631,201,13796,0,0.25405,0,0.33555
2013,Bremen,Urban regions,Yes,0.67805,64,13796,0,0.49722,0,0.83030
2013,Bremen,Urban regions,No,0.32195,41,13796,0,0.19557,0,0.42965
2013,North Rhine-Westphalia,Urban regions,Yes,0.71281,1863,13796,0,0.68328,0,0.74388
2013,North Rhine-Westphalia,Urban regions,No,0.28719,904,13796,0,0.26836,0,0.30754
2013,North Rhine-Westphalia,Rural regions,Yes,1.00000,43,13796,0,0.74396,0,1.26236
2013,Hesse,Urban regions,Yes,0.71844,582,13796,0,0.66557,0,0.77637
2013,Hesse,Urban regions,No,0.28156,279,13796,0,0.24910,0,0.31978
2013,Hesse,Rural regions,Yes,0.65939,115,13796,0,0.57471,0,0.75130
2013,Hesse,Rural regions,No,0.34061,55,13796,0,0.26234,0,0.44047
2013,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.71168,427,13796,0,0.64913,0,0.77028
2013,"Rhineland-Palatinate, Saarland",Urban regions,No,0.28832,214,13796,0,0.24766,0,0.32892
2013,"Rhineland-Palatinate, Saarland",Rural regions,Yes,0.77503,140,13796,0,0.65122,0,0.85456
2013,"Rhineland-Palatinate, Saarland",Rural regions,No,0.22497,50,13796,0,0.16729,0,0.29413
2013,Baden-Wuerttemberg,Urban regions,Yes,0.77342,1065,13796,0,0.73213,0,0.82479
2013,Baden-Wuerttemberg,Urban regions,No,0.22658,411,13796,0,0.20371,0,0.25271
2013,Baden-Wuerttemberg,Rural regions,Yes,0.74670,107,13796,0,0.63723,0,0.90660
2013,Baden-Wuerttemberg,Rural regions,No,0.25330,47,13796,0,0.17140,0,0.32867
2013,Bavaria,Urban regions,Yes,0.74270,750,13796,0,0.69526,0,0.79171
2013,Bavaria,Urban regions,No,0.25730,309,13796,0,0.22849,0,0.29511
2013,Bavaria,Rural regions,Yes,0.72077,826,13796,0,0.67589,0,0.77506
2013,Bavaria,Rural regions,No,0.27923,319,13796,0,0.24355,0,0.32448
2013,Berlin,Urban regions,Yes,0.60120,380,13796,0,0.55712,0,0.65137
2013,Berlin,Urban regions,No,0.39880,243,13796,0,0.35343,0,0.44523
2013,Brandenburg,Urban regions,Yes,1.00000,33,13796,0,0.80903,0,1.19565
2013,Brandenburg,Rural regions,Yes,0.67052,328,13796,0,0.60697,0,0.75286
2013,Brandenburg,Rural regions,No,0.32948,150,13796,0,0.27710,0,0.39265
2013,Mecklenburg-Western Pomerania,Rural regions,Yes,0.66116,173,13796,0,0.58171,0,0.76038
2013,Mecklenburg-Western Pomerania,Rural regions,No,0.33884,87,13796,0,0.27639,0,0.40539
2013,Saxony,Urban regions,Yes,0.71492,318,13796,0,0.65542,0,0.77907
2013,Saxony,Urban regions,No,0.28508,112,13796,0,0.23659,0,0.33634
2013,Saxony,Rural regions,Yes,0.67266,275,13796,0,0.61392,0,0.75068
2013,Saxony,Rural regions,No,0.32734,121,13796,0,0.27327,0,0.38651
2013,Saxony-Anhalt,Urban regions,Yes,0.74856,99,13796,0,0.62616,0,0.86713
2013,Saxony-Anhalt,Urban regions,No,0.25144,32,13796,0,0.15176,0,0.38543
2013,Saxony-Anhalt,Rural regions,Yes,0.70605,242,13796,0,0.62844,0,0.79298
2013,Saxony-Anhalt,Rural regions,No,0.29395,130,13796,0,0.24586,0,0.34829
2013,Thuringa,Urban regions,Yes,0.63636,94,13796,0,0.50308,0,0.78093
2013,Thuringa,Urban regions,No,0.36364,66,13796,0,0.26663,0,0.46511
2013,Thuringa,Rural regions,Yes,0.73019,252,13796,0,0.66002,0,0.80157
2013,Thuringa,Rural regions,No,0.26981,81,13796,0,0.21457,0,0.33645
2015,Schleswig-Holstein,Urban regions,Yes,0.69231,99,15592,0,0.55549,0,0.82541
2015,Schleswig-Holstein,Urban regions,No,0.30769,55,15592,0,0.22364,0,0.40454
2015,Schleswig-Holstein,Rural regions,Yes,0.69777,233,15592,0,0.62440,0,0.78492
2015,Schleswig-Holstein,Rural regions,No,0.30223,160,15592,0,0.26110,0,0.36670
2015,Hamburg,Urban regions,Yes,0.76834,199,15592,0,0.67557,0,0.89259
2015,Hamburg,Urban regions,No,0.23166,82,15592,0,0.18147,0,0.28842
2015,Lower Saxony,Urban regions,Yes,0.73741,416,15592,0,0.66765,0,0.80561
2015,Lower Saxony,Urban regions,No,0.26259,204,15592,0,0.21793,0,0.30763
