year,quintil_oecd,pli0096_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2009,3rd Quintile,Seldom,0.027637101554158952,442,17876,0.027598004009715616,0.027676199098602288
2009,3rd Quintile,Never,0.13755934120997756,2333,17876,0.13747719288736437,0.13764148953259076
2009,4th Quintile,At least once per week,0.023226624780216698,465,17876,0.02319070125038767,0.023262548310045726
2009,4th Quintile,At least once per month,0.020577060424959697,381,17876,0.020543202070496,0.020610918779423393
2009,4th Quintile,Seldom,0.02905852706674532,560,17876,0.02901846601291951,0.029098588120571128
2009,4th Quintile,Never,0.12990352762177762,2305,17876,0.12982334445186228,0.12998371079169296
2009,5th Quintile,At least once per week,0.026606121401838222,624,17876,0.02656773970819621,0.026644503095480235
2009,5th Quintile,At least once per month,0.020704032340929407,511,17876,0.020670071886194546,0.020737992795664267
2009,5th Quintile,Seldom,0.03288505636921626,680,17876,0.032842523234921366,0.03292758950351115
2009,5th Quintile,Never,0.1331380324033446,2953,17876,0.13305700814080704,0.13321905666588216
2011,1st Quintile,At least once per week,0.010385609923160096,256,21800,0.01035776482613596,0.010413455020184231
2011,1st Quintile,At least once per month,0.01181767300727891,260,21800,0.01178799161580322,0.011847354398754598
2011,1st Quintile,Seldom,0.01925714092437023,409,21800,0.019219394726442934,0.019294887122297523
2011,1st Quintile,Never,0.14977171032105288,3577,21800,0.14967369761013521,0.14986972303197055
2011,2nd Quintile,At least once per week,0.017165927543917842,431,21800,0.017130251764439917,0.017201603323395768
2011,2nd Quintile,At least once per month,0.013759661425311888,393,21800,0.013727665477043035,0.01379165737358074
2011,2nd Quintile,Seldom,0.022186596118090172,535,21800,0.0221461410381976,0.022227051197982746
2011,2nd Quintile,Never,0.14098475471603475,3060,21800,0.1408891704865699,0.1410803389454996
2011,3rd Quintile,At least once per week,0.019196516663289413,423,21800,0.019158828762661433,0.019234204563917393
2011,3rd Quintile,At least once per month,0.017644947889635363,414,21800,0.0176087865789941,0.017681109200276626
2011,3rd Quintile,Seldom,0.033813911349211516,612,21800,0.03376426608502166,0.033863556613401374
2011,3rd Quintile,Never,0.12942591189313946,2633,21800,0.12933371565174906,0.12951810813452985
2011,4th Quintile,At least once per week,0.025628880057598242,546,21800,0.025585476358192406,0.025672283757004078
2011,4th Quintile,At least once per month,0.02201683950726646,459,21800,0.021976535993753668,0.022057143020779255
2011,4th Quintile,Seldom,0.03047747380808436,620,21800,0.030430260093901162,0.03052468752226756
2011,4th Quintile,Never,0.12535610216535287,2396,21800,0.125265155222221,0.12544704910848473
2011,5th Quintile,At least once per week,0.027004518567233217,653,21800,0.026959996700790006,0.027049040433676428
2011,5th Quintile,At least once per month,0.019416795193601535,506,21800,0.019378895933506696,0.019454694453696374
2011,5th Quintile,Seldom,0.04189180075322288,876,21800,0.041836774299575,0.04194682720687076
2011,5th Quintile,Never,0.12279722817314795,2741,21800,0.1227070826816814,0.1228873736646145
2013,1st Quintile,At least once per week,0.011995447762986245,374,25371,0.011968004655401205,0.012022890870571285
