year,bula_h,regtyp,ple0015,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2021,Lower Saxony,Urban regions,Yes,0.0864493280932362,48,18918,0.08611616329363826,0.08678249289283414
2021,Lower Saxony,Urban regions,No,0.9135506719067639,794,18918,0.9132175071071659,0.9138838367063619
2021,Lower Saxony,Rural regions,Yes,0.06961316344655201,55,18918,0.06935617223290208,0.06987015466020194
2021,Lower Saxony,Rural regions,No,0.9303868365534479,984,18918,0.9301298453397979,0.9306438277670979
2021,Bremen,Urban regions,No,1.0,143,18918,1.0,1.0
2021,North Rhine-Westphalia,Urban regions,Yes,0.06334481039848577,214,18918,0.06321931454717458,0.06347030624979697
2021,North Rhine-Westphalia,Urban regions,No,0.9366551896015143,3803,18918,0.9365296937502031,0.9367806854528254
2021,North Rhine-Westphalia,Rural regions,No,1.0,91,18918,1.0,1.0
2021,Hesse,Urban regions,Yes,0.061048961349171,49,18918,0.06082456395045058,0.06127335874789143
2021,Hesse,Urban regions,No,0.938951038650829,1040,18918,0.9387266412521086,0.9391754360495493
2021,Hesse,Rural regions,No,1.0,226,18918,1.0,1.0
2021,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.08820440779723006,43,18918,0.08788333913818638,0.08852547645627373
2021,"Rhineland-Palatinate, Saarland",Urban regions,No,0.9117955922027698,725,18918,0.9114745235437262,0.9121166608618135
2021,"Rhineland-Palatinate, Saarland",Rural regions,No,1.0,207,18918,1.0,1.0
2021,Baden-Wuerttemberg,Urban regions,Yes,0.06573908701426272,104,18918,0.06556727168296878,0.06591090234555666
2021,Baden-Wuerttemberg,Urban regions,No,0.9342609129857372,1826,18918,0.9340890976544433,0.9344327283170312
2021,Baden-Wuerttemberg,Rural regions,No,1.0,219,18918,1.0,1.0
2021,Bavaria,Urban regions,Yes,0.0671237577345725,75,18918,0.06690690237360308,0.06734061309554193
2021,Bavaria,Urban regions,No,0.9328762422654274,1288,18918,0.932659386904458,0.9330930976263968
2021,Bavaria,Rural regions,Yes,0.06114363908903765,77,18918,0.06093713212298208,0.06135014605509322
2021,Bavaria,Rural regions,No,0.9388563609109625,1412,18918,0.9386498539449069,0.9390628678770181
2021,Berlin,Urban regions,Yes,0.09945205848943482,54,18918,0.09910787644599467,0.09979624053287497
2021,Berlin,Urban regions,No,0.9005479415105652,852,18918,0.900203759467125,0.9008921235540053
2021,Brandenburg,Urban regions,No,1.0,63,18918,1.0,1.0
2021,Brandenburg,Rural regions,Yes,0.07073660129502651,48,18918,0.07037358721344342,0.07109961537660961
2021,Brandenburg,Rural regions,No,0.9292633987049734,584,18918,0.9289003846233903,0.9296264127865566
2021,Mecklenburg-Western Pomerania,Urban regions,No,1.0,71,18918,1.0,1.0
2021,Mecklenburg-Western Pomerania,Rural regions,No,1.0,312,18918,1.0,1.0
2021,Saxony,Urban regions,Yes,0.0737801264901039,36,18918,0.07338826151548648,0.07417199146472132
2021,Saxony,Urban regions,No,0.9262198735098961,592,18918,0.9258280085352787,0.9266117384845135
2021,Saxony,Rural regions,No,1.0,506,18918,1.0,1.0
2021,Saxony-Anhalt,Urban regions,No,1.0,143,18918,1.0,1.0
2021,Saxony-Anhalt,Rural regions,No,1.0,425,18918,1.0,1.0
2021,Thuringa,Urban regions,No,1.0,217,18918,1.0,1.0
2021,Thuringa,Rural regions,No,1.0,382,18918,1.0,1.0
