year,bula_h,sex,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
1990,Hessen,maennlich,0.030589573461832054,0.016433917847462037,0.04474522907620207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,477.0
1990,Hessen,weiblich,0.03245731467457783,0.010026666647943085,0.05488796270121258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,487.0
1990,"Rheinland-Pfalz,Saarland",maennlich,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,317.0
1990,"Rheinland-Pfalz,Saarland",weiblich,0.018630020839536483,0.0039863319609173276,0.03327370971815564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.0
1990,Baden-Wuerttemberg,maennlich,0.03353512996096932,0.02329858636943414,0.043771673552504504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,878.0
1990,Baden-Wuerttemberg,weiblich,0.02729171075241717,0.016842671211288435,0.037740750293545906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,878.0
1990,Bayern,maennlich,0.036062989172039435,0.017432068300682377,0.05469391004339649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,771.0
1990,Bayern,weiblich,0.0299270782569752,0.01726306126017186,0.04259109525377854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,802.0
1990,Berlin,-1,,,,,,,,,,,,
1990,Berlin,maennlich,0.45074977642069364,0.34558999962295955,0.5559095532184277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.0
1990,Berlin,weiblich,0.12807982266552764,0.07481780513039735,0.18134184020065794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324.0
1990,Brandenburg,maennlich,1.5290748655179056,1.3596911077489104,1.6984586232869008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351.0
1990,Brandenburg,weiblich,0.8689582713541414,0.7429313097601444,0.9949852329481383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365.0
1990,Mecklenburg-Vorpommern,maennlich,1.5817767219287326,1.3702924801716092,1.793260963685856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.0
