year,migback,quintil_oecd,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1994,Direct migration background,3rd Quintile,492,2.038249622646662,1.956412017041776,2.1200872282515486,0.0,2.0,3.0,0.0,7.5,2.0,2.0,3.0
1994,Direct migration background,4th Quintile,381,1.673457988059273,1.593115641870591,1.7538003342479551,0.0,1.0,3.0,0.0,7.5,1.0,0.9749999999999943,1.0
1994,Direct migration background,5th Quintile,270,1.7480953026335961,1.6516122586466684,1.844578346620524,1.0,1.0,3.0,0.0,6.0,1.0,0.0,1.0
1994,Indirect migration background,1st Quintile,124,1.2394199936661245,1.1236664723032177,1.3551735150290314,0.0,1.0,2.0,0.0,5.0,1.0,1.0,1.0
1994,Indirect migration background,2nd Quintile,112,1.3223023848294955,1.1622745532277885,1.4823302164312024,0.0,1.0,2.0,0.0,5.0,1.0,1.0,2.0
1994,Indirect migration background,3rd Quintile,104,1.202667603651445,1.0506692555958532,1.3546659517070367,0.0,1.0,1.0477523865940925,0.0,2.619380966485231,1.0,1.0,2.0
1994,Indirect migration background,4th Quintile,98,1.1146552610061637,0.9591264435253065,1.270184078487021,0.0,1.0,1.0,0.0,2.5,1.0,1.0,2.0
1994,Indirect migration background,5th Quintile,49,1.4585001753244526,1.2203830334219143,1.696617317226991,0.0,1.0,2.0,0.0,5.0,1.0,1.0,2.0
1995,No migration background,1st Quintile,1581,2.1711047560057803,2.1230360949945113,2.2191734170170494,1.0,2.0,3.0,0.0,6.0,2.0,2.0,2.0
1995,No migration background,2nd Quintile,1994,2.1242086616753078,2.0791165068567015,2.169300816493914,1.0,2.0,3.0,0.0,6.0,2.0,2.0,3.0
1995,No migration background,3rd Quintile,2096,1.907451410788488,1.865503117272143,1.9493997043048328,0.0,1.0,3.0,0.0,7.5,1.0,1.0,1.0
1995,No migration background,4th Quintile,2172,1.704614918949589,1.668256981420128,1.7409728564790499,0.0,1.0,2.0,0.0,5.0,1.0,1.0,1.0
1995,No migration background,5th Quintile,2142,1.5096634461487062,1.4749184196270109,1.5444084726704015,0.0,1.0,2.0,0.0,5.0,1.0,1.0,1.0
1995,Direct migration background,1st Quintile,830,2.1287205475558832,2.0514838652441734,2.205957229867593,0.0,2.0,3.0,0.0,7.5,2.0,2.0,3.0
1995,Direct migration background,2nd Quintile,739,2.1224795865011044,2.0468835370516714,2.1980756359505373,0.0,2.0,3.0,0.0,7.5,2.0,2.0,3.0
1995,Direct migration background,3rd Quintile,516,1.9614530864392075,1.878293931897333,2.0446122409810816,0.0,1.0,3.0,0.0,7.5,1.0,0.0,1.0
1995,Direct migration background,4th Quintile,407,1.7078931906517714,1.6250328084486243,1.7907535728549184,0.0,1.0,3.0,0.0,7.5,1.0,0.0,1.0
1995,Direct migration background,5th Quintile,284,1.7798384255670436,1.6724119936075812,1.887264857526506,0.0,1.0,3.0,0.0,7.5,1.0,0.0,1.0
1995,Indirect migration background,1st Quintile,132,1.109481717120776,0.983838784684834,1.235124649556718,0.0,1.0,1.0,0.0,2.5,1.0,1.0,2.0
1995,Indirect migration background,2nd Quintile,130,1.3057351431732243,1.166703884071286,1.4447664022751625,0.0,1.0,2.0,0.0,5.0,1.0,1.0,1.0
1995,Indirect migration background,3rd Quintile,96,1.0052767696842093,0.879715637653179,1.1308379017152397,0.0,1.0,1.0,0.0,2.5,1.0,1.0,2.0
1995,Indirect migration background,4th Quintile,92,0.6340636398842583,0.5596902244644888,0.7084370553040278,0.0,0.0,1.0,0.0,2.5,0.0,-1.0,0.0
1995,Indirect migration background,5th Quintile,53,1.3860872547364171,1.157817334733349,1.6143571747394854,0.0,1.0,2.0,0.0,5.0,1.0,0.0,2.0
1996,No migration background,1st Quintile,1565,2.1658699939446664,2.121671589311154,2.2100683985781786,1.0,2.0,3.0,0.0,6.0,2.0,2.0,2.0
1996,No migration background,2nd Quintile,1929,2.0609029745289673,2.019898894728852,2.1019070543290828,1.0,2.0,3.0,0.0,6.0,2.0,2.0,3.0
