year,train,pgisced97,quintil_oecd,proportion,n,lower_confidence,upper_confidence
2014,No,inadequately,2nd Quintile,0.00660424678147467,38694,0.005797184494333635,0.007411309068615705
2014,No,vocational + Abi,1st Quintile,0.005935462297274703,38694,0.0051700969000498306,0.006700827694499575
2014,No,higher vocational,2nd Quintile,0.005517471994649724,38694,0.00477939289897676,0.006255551090322688
2014,No,inadequately,3rd Quintile,0.0031349272696873432,38694,0.002577913177898109,0.0036919413614765776
2014,No,higher vocational,1st Quintile,0.002298946664437385,38694,0.0018217483280739263,0.0027761450008008436
2014,No,inadequately,4th Quintile,0.0014629660591874269,38694,0.0010821340260053463,0.0018437980923695075
2014,No,inadequately,5th Quintile,0.0005015883631499749,38694,0.00027848863658999396,0.0007246880897099559
2014,No,in school,1st Quintile,0.00016719612104999163,38694,3.836788888024695e-05,0.0002960243532197363
2014,No,in school,3rd Quintile,0.00016719612104999163,38694,3.836788888024695e-05,0.0002960243532197363
2014,No,in school,2nd Quintile,8.359806052499582e-05,38694,-7.501064303536056e-06,0.0001746971853535277
2014,No,in school,4th Quintile,4.179903026249791e-05,38694,-2.2619125042475067e-05,0.00010621718556747088
2015,Yes,middle vocational,4th Quintile,0.09236947791164658,38036,0.08945958207949588,0.09527937374379729
2015,Yes,middle vocational,5th Quintile,0.08612226684515842,38036,0.08330284262564315,0.08894169106467369
2015,Yes,middle vocational,1st Quintile,0.07585899152164212,38036,0.07319807465977225,0.07851990838351199
2015,Yes,middle vocational,3rd Quintile,0.0749665327978581,38036,0.07232003773966933,0.07761302785604687
2015,Yes,middle vocational,2nd Quintile,0.06157965194109773,38036,0.05916376851161094,0.06399553537058451
2015,Yes,general elementary,3rd Quintile,0.049085229808121376,38036,0.04691400464823806,0.05125645496800469
2015,Yes,higher education,5th Quintile,0.04819277108433735,38036,0.04604036554564836,0.050345176623026344
2015,Yes,general elementary,1st Quintile,0.04685408299866131,38036,0.044730290565269025,0.0489778754320536
2015,Yes,general elementary,4th Quintile,0.04685408299866131,38036,0.044730290565269025,0.0489778754320536
2015,Yes,general elementary,2nd Quintile,0.04462293618920125,38036,0.042547902609826646,0.04669796976857585
2015,Yes,in school,4th Quintile,0.035252119589468986,38036,0.03339876641640624,0.03710547276253173
2015,Yes,in school,5th Quintile,0.035252119589468986,38036,0.03339876641640624,0.03710547276253173
2015,Yes,higher education,4th Quintile,0.03302097278000892,38036,0.031225155645553497,0.034816789914464345
2015,Yes,in school,3rd Quintile,0.0321285140562249,38036,0.030356313699331484,0.03390071441311831
2015,Yes,in school,1st Quintile,0.027219991075412762,38036,0.025584643920340672,0.02885533823048485
2015,Yes,in school,2nd Quintile,0.027219991075412762,38036,0.025584643920340672,0.02885533823048485
2015,Yes,general elementary,5th Quintile,0.02677376171352075,38036,0.025151502484860287,0.028396020942181213
2015,Yes,higher education,3rd Quintile,0.024096385542168676,38036,0.022555259827844884,0.025637511256492468
2015,Yes,higher education,1st Quintile,0.022757697456492636,38036,0.02125896559200456,0.02425642932098071
2015,Yes,higher education,2nd Quintile,0.020080321285140562,38036,0.018670580643609852,0.021490061926671272
2015,Yes,vocational + Abi,5th Quintile,0.01963409192324855,38036,0.018239785711591173,0.021028398134905927
2015,Yes,vocational + Abi,4th Quintile,0.01740294511378849,38036,0.016088756330019088,0.01871713389755789
2015,Yes,vocational + Abi,3rd Quintile,0.011601963409192326,38036,0.01052576998338624,0.012678156834998412
2015,Yes,vocational + Abi,2nd Quintile,0.0107095046854083,38036,0.009675064787209609,0.01174394458360699
2015,Yes,vocational + Abi,1st Quintile,0.0071396697902722,38036,0.006293530631379411,0.007985808949164988
2015,Yes,inadequately,1st Quintile,0.005800981704596163,38036,0.005037768167447827,0.006564195241744499
2015,Yes,higher vocational,5th Quintile,0.00535475234270415,38036,0.004621315954874952,0.006088188730533348
2015,Yes,inadequately,2nd Quintile,0.0035698348951361,38036,0.002970449508357812,0.004169220281914387
2015,Yes,higher vocational,4th Quintile,0.002677376171352075,38036,0.002158060791865975,0.0031966915508381748
2015,Yes,higher vocational,3rd Quintile,0.00178491744756805,38036,0.0013607085404408613,0.0022091263546952385
2015,Yes,inadequately,3rd Quintile,0.00178491744756805,38036,0.0013607085404408613,0.0022091263546952385
2015,Yes,higher vocational,2nd Quintile,0.000892458723784025,38036,0.0005923636681281327,0.0011925537794399172
2015,Yes,inadequately,4th Quintile,0.000892458723784025,38036,0.0005923636681281327,0.0011925537794399172
2015,Yes,higher vocational,1st Quintile,0.0004462293618920125,38036,0.00023398273126839258,0.0006584759925156323
2015,No,higher education,5th Quintile,0.14319701934730888,38036,0.13967682918077431,0.14671720951384346
2015,No,middle vocational,4th Quintile,0.13125645284374018,38036,0.12786282058390053,0.13465008510357984
2015,No,middle vocational,5th Quintile,0.1175203124298604,38036,0.11428387302979312,0.12075675182992768
2015,No,middle vocational,3rd Quintile,0.11226825874220048,38036,0.10909556596638886,0.11544095151801209
2015,No,middle vocational,2nd Quintile,0.08138438748484984,38036,0.07863651792723453,0.08413225704246516
2015,No,higher education,4th Quintile,0.05687480360910356,38036,0.05454723076945407,0.05920237644875305
2015,No,middle vocational,1st Quintile,0.042779548413161554,38036,0.04074586786641456,0.044813228959908545
2015,No,higher vocational,5th Quintile,0.0280109530008529,38036,0.026352690499969834,0.029669215501735964
2015,No,higher education,3rd Quintile,0.027247834088970687,38036,0.02561167417451653,0.028883994003424843
2015,No,general elementary,2nd Quintile,0.02518292409211294,38036,0.023608313044151816,0.026757535140074066
2015,No,vocational + Abi,5th Quintile,0.024644251919019616,38036,0.023086142346767296,0.026202361491271937
2015,No,general elementary,3rd Quintile,0.024195358441441845,38036,0.02265114928978522,0.02573956759309847
2015,No,general elementary,1st Quintile,0.02289356735646631,38036,0.02139047272441826,0.024396661988514364
2015,No,vocational + Abi,4th Quintile,0.022399784531130763,38036,0.020912612474265107,0.02388695658799642
2015,No,higher vocational,4th Quintile,0.020245095838757464,38036,0.018829702023676308,0.02166048965383862
2015,No,general elementary,4th Quintile,0.018045517798626384,38036,0.016707724535702972,0.019383311061549797
2015,No,vocational + Abi,3rd Quintile,0.016923284104681958,38036,0.01562701646403214,0.018219551745331776
2015,No,higher education,2nd Quintile,0.01382591910939534,38036,0.012652420849844222,0.01499941736894646
2015,No,higher vocational,3rd Quintile,0.011805898460295372,38036,0.010720399773343207,0.012891397147247536
2015,No,vocational + Abi,2nd Quintile,0.0113570049827176,38036,0.010292101353994595,0.012421908611440605
2015,No,general elementary,5th Quintile,0.008843201508282085,38036,0.007902320733152939,0.009784082283411231
2015,No,higher education,1st Quintile,0.008124971944157651,38036,0.007222781827438086,0.009027162060877216
2015,No,inadequately,1st Quintile,0.007137406293486556,38036,0.006291400307056262,0.007983412279916849
2015,No,vocational + Abi,1st Quintile,0.0060600619472999055,38036,0.00528009310412281,0.006840030790477001
2015,No,higher vocational,2nd Quintile,0.005117385644386587,38036,0.004400303933429797,0.0058344673553433766
2015,No,inadequately,2nd Quintile,0.00507249629662881,38036,0.0043585505022919364,0.005786442090965684
2015,No,inadequately,3rd Quintile,0.0026484715177088475,38036,0.0021319594958888063,0.0031649835395288887
2015,No,higher vocational,1st Quintile,0.002199578040131077,38036,0.0017287631589995639,0.0026703929212625903
2015,No,inadequately,4th Quintile,0.0020200206490999686,38036,0.0015687911634688198,0.0024712501347311172
2015,No,inadequately,5th Quintile,0.0006733402163666562,38036,0.00041264703867896984,0.0009340333940543425
