year,quintil_oecd,sampreg,doctoryn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2004,5th Quintile,East,No,0.31735,263,788,0.28484,0.34987
2005,1st Quintile,West,Yes,0.68642,1459,2134,0.66673,0.70611
2005,1st Quintile,West,No,0.31358,675,2134,0.29389,0.33327
2005,1st Quintile,East,Yes,0.67723,670,1009,0.64837,0.70609
2005,1st Quintile,East,No,0.32277,339,1009,0.29391,0.35163
2005,2nd Quintile,West,Yes,0.69900,1678,2394,0.68063,0.71738
2005,2nd Quintile,West,No,0.30100,716,2394,0.28262,0.31937
2005,2nd Quintile,East,Yes,0.73089,876,1213,0.70592,0.75586
2005,2nd Quintile,East,No,0.26911,337,1213,0.24414,0.29408
2005,3rd Quintile,West,Yes,0.68693,1810,2664,0.66932,0.70454
2005,3rd Quintile,West,No,0.31307,854,2664,0.29546,0.33068
2005,3rd Quintile,East,Yes,0.74033,799,1074,0.71409,0.76656
2005,3rd Quintile,East,No,0.25967,275,1074,0.23344,0.28591
2005,4th Quintile,West,Yes,0.69245,2242,3304,0.67671,0.70819
2005,4th Quintile,West,No,0.30755,1062,3304,0.29181,0.32329
2005,4th Quintile,East,Yes,0.72129,707,980,0.69320,0.74938
2005,4th Quintile,East,No,0.27871,273,980,0.25062,0.30680
2005,5th Quintile,West,Yes,0.69694,3529,5091,0.68431,0.70956
2005,5th Quintile,West,No,0.30306,1562,5091,0.29044,0.31569
2005,5th Quintile,East,Yes,0.68566,488,730,0.65195,0.71936
2005,5th Quintile,East,No,0.31434,242,730,0.28064,0.34805
2006,1st Quintile,West,Yes,0.67541,1352,1998,0.65487,0.69594
2006,1st Quintile,West,No,0.32459,646,1998,0.30406,0.34513
2006,1st Quintile,East,Yes,0.63989,612,943,0.60924,0.67055
2006,1st Quintile,East,No,0.36011,331,943,0.32945,0.39076
2006,2nd Quintile,West,Yes,0.68499,1494,2201,0.66558,0.70440
2006,2nd Quintile,West,No,0.31501,707,2201,0.29560,0.33442
2006,2nd Quintile,East,Yes,0.72392,790,1113,0.69765,0.75020
2006,2nd Quintile,East,No,0.27608,323,1113,0.24980,0.30235
2006,3rd Quintile,West,Yes,0.69995,1709,2502,0.68199,0.71791
2006,3rd Quintile,West,No,0.30005,793,2502,0.28209,0.31801
2006,3rd Quintile,East,Yes,0.72522,769,1072,0.69848,0.75195
2006,3rd Quintile,East,No,0.27478,303,1072,0.24805,0.30152
2006,4th Quintile,West,Yes,0.68911,2098,3090,0.67279,0.70544
2006,4th Quintile,West,No,0.31089,992,3090,0.29456,0.32721
2006,4th Quintile,East,Yes,0.68839,608,872,0.65763,0.71914
2006,4th Quintile,East,No,0.31161,264,872,0.28086,0.34237
2006,5th Quintile,West,Yes,0.68231,3287,4800,0.66913,0.69548
2006,5th Quintile,West,No,0.31769,1513,4800,0.30452,0.33087
2006,5th Quintile,East,Yes,0.64434,482,717,0.60928,0.67941
2006,5th Quintile,East,No,0.35566,235,717,0.32059,0.39072
2007,1st Quintile,West,Yes,0.68710,1515,2164,0.66756,0.70664
2007,1st Quintile,West,No,0.31290,649,2164,0.29336,0.33244
2007,1st Quintile,East,Yes,0.67731,667,1010,0.64846,0.70616
2007,1st Quintile,East,No,0.32269,343,1010,0.29384,0.35154
2007,2nd Quintile,West,Yes,0.71180,1713,2422,0.69375,0.72984
2007,2nd Quintile,West,No,0.28820,709,2422,0.27016,0.30625
2007,2nd Quintile,East,Yes,0.73616,780,1081,0.70987,0.76244
2007,2nd Quintile,East,No,0.26384,301,1081,0.23756,0.29013
2007,3rd Quintile,West,Yes,0.70892,1891,2695,0.69177,0.72607
2007,3rd Quintile,West,No,0.29108,804,2695,0.27393,0.30823
2007,3rd Quintile,East,Yes,0.71994,842,1162,0.69411,0.74577
2007,3rd Quintile,East,No,0.28006,320,1162,0.25423,0.30589
2007,4th Quintile,West,Yes,0.70487,2304,3291,0.68928,0.72045
2007,4th Quintile,West,No,0.29513,987,3291,0.27955,0.31072
2007,4th Quintile,East,Yes,0.71471,741,1006,0.68679,0.74263
2007,4th Quintile,East,No,0.28529,265,1006,0.25737,0.31321
2007,5th Quintile,West,Yes,0.69895,3411,4853,0.68605,0.71186
2007,5th Quintile,West,No,0.30105,1442,4853,0.28814,0.31395
2007,5th Quintile,East,Yes,0.70191,511,728,0.66866,0.73516
2007,5th Quintile,East,No,0.29809,217,728,0.26484,0.33134
2008,1st Quintile,West,Yes,0.69718,1419,2024,0.67716,0.71720
2008,1st Quintile,West,No,0.30282,605,2024,0.28280,0.32284
2008,1st Quintile,East,Yes,0.66129,615,932,0.63089,0.69169
2008,1st Quintile,East,No,0.33871,317,932,0.30831,0.36911
2008,2nd Quintile,West,Yes,0.71509,1630,2277,0.69654,0.73363
2008,2nd Quintile,West,No,0.28491,647,2277,0.26637,0.30346
2008,2nd Quintile,East,Yes,0.74315,800,1082,0.71711,0.76920
2008,2nd Quintile,East,No,0.25685,282,1082,0.23080,0.28289
2008,3rd Quintile,West,Yes,0.71466,1846,2596,0.69729,0.73204
2008,3rd Quintile,West,No,0.28534,750,2596,0.26796,0.30271
2008,3rd Quintile,East,Yes,0.72085,867,1202,0.69548,0.74622
2008,3rd Quintile,East,No,0.27915,335,1202,0.25378,0.30452
2008,4th Quintile,West,Yes,0.69916,2140,3054,0.68289,0.71543
2008,4th Quintile,West,No,0.30084,914,3054,0.28457,0.31711
2008,4th Quintile,East,Yes,0.73462,589,811,0.70421,0.76502
