year,bula_h,sex,doctoryn,proportion,n,proportion_lower_confidence,proportion_upper_confidence
2017,Mecklenburg-Western Pomerania,female,Yes,0.7165605095541401,45410,0.7124153912058558,0.7207056279024243
2017,Mecklenburg-Western Pomerania,female,No,0.28343949044585987,45410,0.27929437209757557,0.28758460879414416
2017,Saxony,male,Yes,0.6980891719745222,45410,0.693866618911138,0.7023117250379065
2017,Saxony,male,No,0.3019108280254777,45410,0.29768827496209344,0.30613338108886196
2017,Saxony,female,Yes,0.7566320645905421,45410,0.7526851805204101,0.7605789486606741
2017,Saxony,female,No,0.2433679354094579,45410,0.23942105133932592,0.24731481947958986
2017,Saxony-Anhalt,male,Yes,0.6739659367396593,45410,0.6696544129946923,0.6782774604846263
2017,Saxony-Anhalt,male,No,0.3260340632603406,45410,0.3217225395153736,0.33034558700530764
2017,Saxony-Anhalt,female,Yes,0.7755905511811023,45410,0.7717533272465517,0.779427775115653
2017,Saxony-Anhalt,female,No,0.22440944881889763,45410,0.2205722248843469,0.22824667275344834
2017,Thuringa,male,Yes,0.673469387755102,45410,0.6691561718139369,0.6777826036962671
2017,Thuringa,male,No,0.32653061224489793,45410,0.3222173963037329,0.33084382818606295
2017,Thuringa,female,Yes,0.7696629213483146,45410,0.7657902331679549,0.7735356095286743
2017,Thuringa,female,No,0.2303370786516854,45410,0.2264643904713257,0.2342097668320451
2018,Schleswig-Holstein,male,Yes,0.6745283018867925,43121,0.6701057965810053,0.6789508071925796
2018,Schleswig-Holstein,male,No,0.32547169811320753,43121,0.3210491928074204,0.32989420341899467
2018,Schleswig-Holstein,female,Yes,0.7248995983935743,43121,0.7206846117651251,0.7291145850220235
2018,Schleswig-Holstein,female,No,0.2751004016064257,43121,0.27088541497797647,0.2793153882348749
2018,Hamburg,male,Yes,0.6398104265402843,43121,0.6352793344956115,0.6443415185849571
2018,Hamburg,male,No,0.36018957345971564,43121,0.35565848141504275,0.36472066550438853
2018,Hamburg,female,Yes,0.7362637362637363,43121,0.7321045028889941,0.7404229696384785
2018,Hamburg,female,No,0.26373626373626374,43121,0.2595770303615216,0.2678954971110059
2018,Lower Saxony,male,Yes,0.6843910806174958,43121,0.6800043752703911,0.6887777859646004
2018,Lower Saxony,male,No,0.3156089193825043,43121,0.3112222140353997,0.3199956247296089
2018,Lower Saxony,female,Yes,0.759027266028003,43121,0.7549905862367029,0.763063945819303
2018,Lower Saxony,female,No,0.24097273397199706,43121,0.23693605418069702,0.2450094137632971
2018,Bremen,male,Yes,0.6923076923076923,43121,0.6879513744792187,0.6966640101361659
2018,Bremen,male,No,0.3076923076923077,43121,0.30333598986383414,0.3120486255207813
2018,Bremen,female,Yes,0.7333333333333333,43121,0.7291593881742316,0.7375072784924349
2018,Bremen,female,No,0.26666666666666666,43121,0.26249272150756503,0.2708406118257683
2018,North Rhine-Westphalia,male,Yes,0.6707218167072182,43121,0.6662860943536222,0.6751575390608142
2018,North Rhine-Westphalia,male,No,0.32927818329278186,43121,0.3248424609391859,0.3337139056463778
2018,North Rhine-Westphalia,female,Yes,0.7542837559972584,43121,0.7502202961656129,0.7583472158289039
2018,North Rhine-Westphalia,female,No,0.2457162440027416,43121,0.24165278417109612,0.2497797038343871
