"beruf","year","regtyp","n","percent","lower_confidence","upper_confidence"
"Selbstständige/ManagerInnen","2004","Staedtischer Raum","1140","0.0652225579468168","0.0611754174303167","0.0692696984633169"
"Selbstständige/ManagerInnen","2004","Laendlicher Raum","488","0.0592064504047678","0.0537872503281831","0.0646256504813524"
"Sonstige Nichterwerbspersonen","2004","Staedtischer Raum","1243","0.079238630293256","0.0748113473012114","0.0836659132853007"
"Sonstige Nichterwerbspersonen","2004","Laendlicher Raum","479","0.0678897356847173","0.0621135757248879","0.0736658956445467"
"Angestellte, einfache Tätigkeiten","2005","Staedtischer Raum","1944","0.156438653192831","0.150357645220827","0.162519661164835"
"Angestellte, einfache Tätigkeiten","2005","Laendlicher Raum","998","0.154772906134023","0.146280550092181","0.163265262175864"
"Angestellte, qualifizierte Tätigkeiten","2005","Staedtischer Raum","3760","0.263654613955757","0.25627890662213","0.271030321289384"
"Angestellte, qualifizierte Tätigkeiten","2005","Laendlicher Raum","1846","0.23586182197608","0.225893804429353","0.245829839522808"
"Arbeitslose","2005","Staedtischer Raum","757","0.0633547229806967","0.0592769572221145","0.0674324887392789"
"Arbeitslose","2005","Laendlicher Raum","571","0.0859738619897753","0.0793918821825314","0.0925558417970192"
"Beamte","2005","Staedtischer Raum","663","0.0337184426224799","0.0306968855501783","0.0367399996947816"
"Beamte","2005","Laendlicher Raum","253","0.0305345958993915","0.0264948293732348","0.0345743624255483"
"In Ausbildung","2005","Staedtischer Raum","1218","0.0797647870894268","0.0752295475348598","0.0843000266439938"
"In Ausbildung","2005","Laendlicher Raum","617","0.0799600105018329","0.0735915597684692","0.0863284612351967"
"In Rente oder Pension","2005","Staedtischer Raum","3188","0.266175334481832","0.258777148245903","0.273573520717761"
"In Rente oder Pension","2005","Laendlicher Raum","1758","0.281807597100433","0.271244512165545","0.292370682035322"
"Selbstständige/ManagerInnen","2005","Staedtischer Raum","1018","0.0598579652512693","0.0558869375819527","0.0638289929205859"
"Selbstständige/ManagerInnen","2005","Laendlicher Raum","485","0.0616827004921906","0.0560339736846235","0.0673314272997578"
"Sonstige Nichterwerbspersonen","2005","Staedtischer Raum","1161","0.0770354804257067","0.0725719026800664","0.081499058171347"
"Sonstige Nichterwerbspersonen","2005","Laendlicher Raum","440","0.0694065059062731","0.0634392575052453","0.0753737543073009"
"Angestellte, einfache Tätigkeiten","2006","Staedtischer Raum","1923","0.145413277570096","0.139688311083085","0.151138244057107"
"Angestellte, einfache Tätigkeiten","2006","Laendlicher Raum","1077","0.151044956954131","0.143025791624517","0.159064122283746"
"Angestellte, qualifizierte Tätigkeiten","2006","Staedtischer Raum","3990","0.26578750532805","0.258613346083434","0.272961664572666"
"Angestellte, qualifizierte Tätigkeiten","2006","Laendlicher Raum","1992","0.239497823059694","0.229940533985361","0.249055112134028"
"Arbeitslose","2006","Staedtischer Raum","822","0.0658934986172565","0.0618643589009283","0.0699226383335848"
"Arbeitslose","2006","Laendlicher Raum","609","0.0833648805477972","0.0771744120401131","0.0895553490554812"
"Beamte","2006","Staedtischer Raum","675","0.0328878589925818","0.0299915221739892","0.0357841958111743"
"Beamte","2006","Laendlicher Raum","269","0.0318372512010964","0.0279055937497449","0.0357689086524479"
"In Ausbildung","2006","Staedtischer Raum","1017","0.0679621692198433","0.0638748059975115","0.0720495324421751"
"In Ausbildung","2006","Laendlicher Raum","539","0.0617684559375183","0.0563774216515655","0.0671594902234711"
"In Rente oder Pension","2006","Staedtischer Raum","3600","0.268796589596828","0.261596733309035","0.275996445884622"
"In Rente oder Pension","2006","Laendlicher Raum","2028","0.284206991587976","0.274106446515051","0.294307536660901"
"Selbstständige/ManagerInnen","2006","Staedtischer Raum","1146","0.0651036628899425","0.0610970508891221","0.069110274890763"
"Selbstständige/ManagerInnen","2006","Laendlicher Raum","551","0.0657825450100058","0.0602310106683945","0.0713340793516171"
"Sonstige Nichterwerbspersonen","2006","Staedtischer Raum","1392","0.0881554377854017","0.0835509873108762","0.0927598882599271"
