year,quintil_oecd,sex,plb0195_h,proportion,n,proportion_lower_confidence,proportion_upper_confidence
1999,2nd Quintile,male,Not compensated,0.11995104039167687,17396,0.11512282319696021,0.12477925758639352
1999,2nd Quintile,female,Comp. time,0.5786163522012578,17396,0.5712785574023851,0.5859541470001306
1999,2nd Quintile,female,Some of both,0.15932914046121593,17396,0.15389047963846578,0.1647678012839661
1999,2nd Quintile,female,Paid,0.1488469601677149,17396,0.14355757511071648,0.1541363452247133
1999,2nd Quintile,female,Not compensated,0.11320754716981132,17396,0.10849907447284166,0.11791601986678099
1999,3rd Quintile,male,Comp. time,0.3864795918367347,17396,0.3792434151655402,0.39371576850792916
1999,3rd Quintile,male,Paid,0.23596938775510204,17396,0.22965960241727734,0.24227917309292674
1999,3rd Quintile,male,Some of both,0.23214285714285715,17396,0.2258687887468516,0.2384169255388627
1999,3rd Quintile,male,Not compensated,0.14540816326530612,17396,0.140169685122408,0.15064664140820425
1999,3rd Quintile,female,Comp. time,0.588021778584392,17396,0.5807076059491162,0.5953359512196678
1999,3rd Quintile,female,Some of both,0.1705989110707804,17396,0.16500903988733573,0.17618878225422507
1999,3rd Quintile,female,Not compensated,0.13611615245009073,17396,0.13102033477239933,0.14121197012778214
1999,3rd Quintile,female,Paid,0.10526315789473684,17396,0.10070260781164661,0.10982370797782706
1999,4th Quintile,male,Comp. time,0.3756983240223464,17396,0.3685013779061759,0.3828952701385169
1999,4th Quintile,male,Some of both,0.25139664804469275,17396,0.24494995492711397,0.25784334116227153
1999,4th Quintile,male,Not compensated,0.21368715083798884,17396,0.20759573480046,0.21977856687551767
1999,4th Quintile,male,Paid,0.15921787709497207,17396,0.1537807558099545,0.16465499837998962
1999,4th Quintile,female,Comp. time,0.597165991902834,17396,0.5898774279446678,0.6044545558610003
1999,4th Quintile,female,Not compensated,0.16194331983805668,17396,0.15646875521067644,0.16741788446543693
1999,4th Quintile,female,Some of both,0.16194331983805668,17396,0.15646875521067644,0.16741788446543693
1999,4th Quintile,female,Paid,0.07894736842105263,17396,0.07494015544709287,0.08295458139501238
1999,5th Quintile,male,Not compensated,0.375366568914956,17396,0.3681708899443208,0.38256224788559123
1999,5th Quintile,male,Comp. time,0.3020527859237537,17396,0.2952296490448162,0.30887592280269116
1999,5th Quintile,male,Some of both,0.25219941348973607,17396,0.24574589871446226,0.2586529282650099
1999,5th Quintile,male,Paid,0.07038123167155426,17396,0.06658010585565824,0.07418235748745028
1999,5th Quintile,female,Comp. time,0.4732824427480916,17396,0.4658628431961209,0.4807020423000623
1999,5th Quintile,female,Not compensated,0.2633587786259542,17396,0.25681342250940115,0.26990413474250724
1999,5th Quintile,female,Some of both,0.20610687022900764,17396,0.20009570552126077,0.21211803493675452
1999,5th Quintile,female,Paid,0.05725190839694656,17396,0.053799483922428774,0.06070433287146435
2000,1st Quintile,male,Comp. time,0.37185929648241206,30607,0.36644473263050265,0.3772738603343215
2000,1st Quintile,male,Paid,0.3065326633165829,30607,0.3013673451964039,0.3116979814367619
2000,1st Quintile,male,Some of both,0.23618090452261306,30607,0.23142247834410867,0.24093933070111745
2000,1st Quintile,male,Not compensated,0.08542713567839195,30607,0.08229563314153578,0.08855863821524813
2000,1st Quintile,female,Comp. time,0.5365853658536586,30607,0.530998735022985,0.5421719966843321
2000,1st Quintile,female,Paid,0.2032520325203252,30607,0.19874362027882533,0.20776044476182506
2000,1st Quintile,female,Some of both,0.15447154471544716,30607,0.15042267270643847,0.15852041672445585
2000,1st Quintile,female,Not compensated,0.10569105691056911,30607,0.1022466964359875,0.10913541738515073
2000,2nd Quintile,male,Comp. time,0.3966565349544073,30607,0.3911758441351143,0.40213722577370026
2000,2nd Quintile,male,Paid,0.24468085106382978,30607,0.2398645799228206,0.24949712220483897
2000,2nd Quintile,male,Some of both,0.23556231003039513,30607,0.23080819552656767,0.24031642453422258
2000,2nd Quintile,male,Not compensated,0.12310030395136778,30607,0.11941943621793003,0.12678117168480554
2000,2nd Quintile,female,Comp. time,0.5857142857142857,30607,0.5801955629593168,0.5912330084692546
2000,2nd Quintile,female,Paid,0.16,30607,0.15589280498749866,0.16410719501250134
2000,2nd Quintile,female,Some of both,0.15714285714285714,30607,0.15306558220225183,0.16122013208346245
2000,2nd Quintile,female,Not compensated,0.09714285714285714,30607,0.09382497736807793,0.10046073691763635
2000,3rd Quintile,male,Comp. time,0.41330166270783847,30607,0.40778486963449856,0.4188184557811784
2000,3rd Quintile,male,Some of both,0.25653206650831356,30607,0.25163937717903156,0.26142475583759556
2000,3rd Quintile,male,Paid,0.20902612826603326,30607,0.20447072271594344,0.21358153381612308
2000,3rd Quintile,male,Not compensated,0.12114014251781473,30607,0.11748461932360234,0.12479566571202712
2000,3rd Quintile,female,Comp. time,0.6225045372050817,30607,0.6170736245485566,0.6279354498616068
2000,3rd Quintile,female,Some of both,0.17422867513611615,30607,0.16997919889351745,0.17847815137871484
2000,3rd Quintile,female,Not compensated,0.10526315789473684,30607,0.10182495463956331,0.10870136114991036
2000,3rd Quintile,female,Paid,0.09800362976406533,30607,0.09467267170037207,0.1013345878277586
2000,4th Quintile,male,Comp. time,0.4166666666666667,30607,0.4111433687906098,0.42218996454272356
