year,quintil_oecd_hh,sampreg,hgreval,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,3rd Quintile,West,Slightly Expensive,0.13957,82,559,0.11082,0.16832
1996,3rd Quintile,East,Inexpensive,0.20090,48,222,0.14808,0.25373
1996,3rd Quintile,East,Reasonable,0.49100,124,222,0.42509,0.55691
1996,3rd Quintile,East,Slightly Expensive,0.20140,50,222,0.14853,0.25428
1996,4th Quintile,West,Very Inexpensive,0.13341,66,496,0.10345,0.16336
1996,4th Quintile,West,Inexpensive,0.33101,163,496,0.28956,0.37247
1996,4th Quintile,West,Reasonable,0.38262,197,496,0.33980,0.42543
1996,4th Quintile,West,Slightly Expensive,0.13150,70,496,0.10173,0.16127
1996,4th Quintile,East,Reasonable,0.54996,90,122,0.46131,0.63860
1996,4th Quintile,East,Slightly Expensive,0.22499,32,122,0.15059,0.29940
1996,5th Quintile,West,Very Inexpensive,0.14142,54,362,0.10548,0.17737
1996,5th Quintile,West,Inexpensive,0.30042,108,362,0.25313,0.34772
1996,5th Quintile,West,Reasonable,0.37242,137,362,0.32254,0.42229
1996,5th Quintile,West,Slightly Expensive,0.17449,63,362,0.13534,0.21364
1996,5th Quintile,East,Reasonable,0.64857,61,61,0.52777,0.76938
1997,1st Quintile,West,Very Inexpensive,0.07992,48,718,0.06007,0.09977
1997,1st Quintile,West,Inexpensive,0.25829,174,718,0.22625,0.29033
1997,1st Quintile,West,Reasonable,0.42755,309,718,0.39134,0.46376
1997,1st Quintile,West,Slightly Expensive,0.19877,149,718,0.16956,0.22799
1997,1st Quintile,West,Too Expensive,0.03547,38,718,0.02193,0.04901
1997,1st Quintile,East,Inexpensive,0.15922,49,282,0.11644,0.20200
1997,1st Quintile,East,Reasonable,0.45008,140,282,0.39191,0.50825
1997,1st Quintile,East,Slightly Expensive,0.25823,93,282,0.20705,0.30940
1997,2nd Quintile,West,Very Inexpensive,0.10024,48,583,0.07584,0.12464
1997,2nd Quintile,West,Inexpensive,0.27986,158,583,0.24339,0.31633
